Русское слово,Ительменское слово
заработать,wetat- п1
заражаться,azəmne- неп
заранее,wənaxp нареч
заросли,ič'al сущ
заросли берёзы,kilxal сущ
засохшую одежду замочить,ənkizwakni- п1
заставать,inf- п2
заставлять,iti- п1; itit- п1; ɬentawoŋa- п1; neɬ- п1; ənkawral- п1; ənperwet'i- п1
заставлять кого-либо войти,ɬinč'eŋ- п1
себе,ɬink'eneziŋ- п1
заставлять кого-либо работать,ɬinwetat- п1
спотыкаться,ɬinkup- п1
заставлять перешагивать,ənfaqt- п1
застать,ənnakas инф
застревать,ek'ŋe- неп; ek'ŋet- неп
застрелить,ɬot- п1
заступ,učkpen сущ
засуха,k'esxk'esx сущ
засучивать рукава,tl- п1; tlet- п1
засучить рукава,t'esla- п2
засыпать,ʷŋiksi- неп
засыхать,qaŋrat- неп
затащить,tewata- п2
затемнить,əntxun- п1; əntxunala- п1
затемнять,əntxunet- п1
затока,uwam сущ
затоптать,st'watala- п1; st'watata- п1
затупить,isxəmtse- п1
затупиться,isxəmtse- неп
затыкать щели,utika- п1
затылок,suč сущ
затягиваться,t'la- неп; t'lat- неп
зацепиться,ak'ne- неп
зачатие,ənzunom сущ
зачем,ӑŋqankit мест; ӑŋqaneʔsx мест
зачервевать,ximti- неп
зачерпывать,ačple- п1; paju- п1
"зачерпывать (еду, воду)",ačple- неп
зачинивать,čeʔŋela- п1
зашивать,ɬinmiti- п1; čeʔŋela- п1
защищать защитит,iɬ- п1; ɬinqn- п1; ɬinqnet- п1
заяц,miɲɬ сущ
заячий,miɲʎʔin прил
званый обед,čχamɬes сущ
звать,inoč'- неп; oč'- п1; oč'zo- п1; oč'et- п1
звезда,ŋezzečχ сущ; eŋezem сущ; eŋezečχ сущ
звездами покрываться,ŋezete- неп
звёздный,k'ŋezeʔin прил
звенеть колокольчиками,d'iŋɬiŋɬ- неп
зверь,ʷwirɲik сущ
зверя скрадывать,eč'ewi- п1
звонить,zwoneʔɬ- неп; ənzlet- п1
звонить во что-либо,ənzel- п1
здесь,wun нареч; qotɬk нареч; nuxqene нареч; nux нареч; ŋuʔn нареч; tixt нареч с.; xtaank нареч с.; xteank нареч
здешний,tanʔin прил
здороваться,dorowa- неп; dorowa- п1; dorowaʔɬ- неп; torowaʔɬ- неп
здоровый,tχiwlaχ прил
здоровье поправлять,ənqečeʔɬ- п1
"здравствуй, здорово",dorowa межд
зевать,waŋaxla- неп; txaŋɬ- неп; txaŋɬet- неп
зевать многократно,txaŋɬet- неп
зеленеть,fɬa- неп
зеленый,fɬlaχ прил
земля,ktxəm сущ; səmt сущ
землянка,zemʎankaʔ сущ; ktxəmra сущ; k'iŋuxt сущ с.;
землянку строить,ɬtaroŋ- неп
зеркало,əɬčkeʔnoŋ сущ
зеркало смотреться,zerklačo- неп; zerklačote- неп
зерно,zernoʔn сущ
зима,kank нареч; xaŋklən сущ
поселение,txastnəm сущ
зимний,xaŋklean прил
зимовать,zimowaʔɬ- неп; kank- неп; χaŋklet- неп
зимовье,kankɬnom сущ
зимой,kank нареч; xaŋkle нареч
злая собака,č'iŋzik сущ
злить,ənχaqaŋe- п1; ənχaqaŋet- п1
злиться,χaqaɲɬ- неп; č'iŋzəp- неп; č'iŋstel- неп
злоба,č'iŋzəp сущ
злобный,č'iŋzlaχ прил
зловоние,əmč'əmč' сущ
злодей,kčinzʔin сущ
злой,qeqč'ulaχ прил; χeqelaχ прил; č'iŋzlaχ прил; ečk'elaχ прил
злой дух,bukiska сущ; kilwul сущ; qaqaril сущ; seʔlup сущ; unal сущ
злость,χaqanwarwan сущ; č'iŋzəp сущ
знак,ksxlenom сущ
знакомиться,znakomeʔɬ- неп
знамение,ksxlenom сущ
знать,alwasχq сущ; xiq iɬ- п1;
ӽаӄ,iɬ- п1
зола,činzusx сущ
золотой корень,ič'eč'wum сущ
зрение,əɬčkunom сущ
зря,kunemx нареч; č'exč'eɬ нареч
зуб,kəpkəp сущ
зубной,pk'in прил
зубы потерять,kaɬalxpe- неп; kixpleʔɬ- неп
зуд,č'oxč'ox сущ
зять,samses сущ
и,ek союз
ива,kitxɬ сущ
ивы заросли,kitxɬal сущ
игла,sis сущ
игла деревянная,oxp сущ
игла для вязания сетей,exp сущ
для вязания сетки,sč'aneŋ сущ
игольное ушко,sč'aneŋ сущ
игра,maʔɬes сущ
играть,maʔɬ- неп
играть в куклы,χeʔlučiʔɬ- неп
играть в мяч,qaplu- неп
играть в прятки,sŋačiʔɬ- неп
играть в пятнашки,suqečiʔɬ- неп
играть на дудочке,kowozel- неп
игрушка,maʔjanŏŋ сущ; tənk'el сущ
идея,ʷk'enezes сущ
идол,itung сущ; яidač' сущ
идти,iɬ- неп; k'oɬ- неп; piki- неп с.
идти (о снеге),paŋo- неп; tχa- неп
идти (о шуге по реке),insuči- неп
идти (шуга по реке),insi- неп
идти на все ради чего-то,č'exele- неп
идти на лыжах,leŋazo- неп
идти на нерест,rosxata- неп
идти немного,tχala- неп
идти о дожде,čf- неп
идти пешком,ɬejwo- неп
из леса,senxʔal нареч
из лесочка,seɲčxʔal нареч
из середины,kӑnnenxʔal нареч
"из, из-под, изнутри",čəsxʔal нареч
избавление,ənksinom сущ
избавлять,ənksi- п1
избивать,txɬzo- п1; txɬet- п1
избить,talawala- п1
изблизи,tmalxʔal нареч
избранный,k'inčilknen инф
известие,ampelanom сущ
известностью пользоваться,alwa- неп
известный,izwestnoj прил; k'alwaʔan прил
извиваться,sqəsxen- неп
извилина,loʔləm сущ
изгиб,loʔləm сущ; naɬnoŋ сущ
изгиб реки,loʔləm сущ
изгибаться,sqens- неп; ənkawral- п1
икона,bogačχ сущ
икра,ŋilŋil сущ; ŋəlʔŋəl сущ с.
икринка,ŋilŋilsxaχ сущ
икроножная мышца,ŋilŋil сущ
икрянка,qaʔaq сущ
ил,əlk'unəŋ сущ
или,inkneɬ союз
им,txeʔanke мест
имей в виду,χuret межд
именно жалеть об утрате,kɬul- п1
иметь нос полный козявок,ŋapsk'elti- неп
иметься,či- неп
изгибаться многократно туда-,neksamin прил
сюда,naɬsxen- неп
изголовье,snəŋ сущ
изготавливать,sk- п1
издалека,meč'axʔal нареч; t'aɬxʔal нареч
издеваться,d'ekowa- п1
хиԓивайу,iɬ- п1
изжога,anekst'ač сущ
изжогой страдать,anekst'aʔɬ- неп
излишний,amamkalaχ прил
изменить,ɬwaɬte- неп
Изменная сопка,Аfčaχ собств
изменник,ɬwaɬu сущ
изнашиваться,č'sxən- неп; č'sxənet- неп
износиться,atɬxo- неп
"износиться (вещи, обувь)",infɬeʔne- неп
изнутри запираться,χəlqep- неп
изобретать,əɲčik'irwi- п1
из-под,tnŭmxʔal нареч
изредка,inxseʔnk нареч
изрезать,əmpχesxen- п1
имя,χelaŋ сущ
имя давать,χelaʔɬ- п1
иначе,ɬwaɬk'eɬ нареч; ɬwaɬ нареч
иней,tsatsəm сущ
иногда,inxseʔnk нареч; it'ensčaq нареч
иной,ɬwaɬʔan прил
иной раз,inxseʔnk нареч
инструктировать,əlʔiɬ- п1
интересный,interesnoj прил
искалечить кого-либо,natkawa- п1
искалечиться,innatkawa- неп
искать,anxtzoʔɬ- неп; inxt- неп; inxt- п1; nik'i- неп; nik'i- п1; sek'sŋe- неп
искать вшей,iɲɬ- п1
искать кимчигу,tolk'aʔ- неп
искать что-либо,entχzu- п1; eɲčχzo- п1 с.
"искать что-либо долго, усиленно",inxtzu- п1
искать что-либо среди вещей,amesat- п1
исключительно,prostoj нареч
искоса,k'irič нареч; xraŋ нареч
искра,eč'emiŋ сущ; eč'emečχ сущ
искривлять,sqensxen- п1; tqens- п1; tqensen- п1; tqenset- п1
искривляться,tqens- неп
искусать,pəlsxen- п2
искушать,ənkəmŋa- п1
искушение,antawoŋaɬnom сущ; kəmŋes сущ
испачкаться при еде,k'ajməɬ- неп
исповедовать ,mel; iɬ- п1
исповедоваться,čaxsaɬ- неп
исповедь,čaxsaɬes сущ
исполниться,liɬi le- неп
испортить,ɬnečk'eŋ- п1; əntfke- п1
исправлять,ɬinmiti- п1
исправный,xiʔŋiŋlaχ прил
испражняться,poqɬ- неп; ənziŋ- неп
испуг,təlfɬnom сущ
испугаться,tilxɬ- неп; təlxɬ- неп с.
испустить дух,fčetapɬ- неп
испытание,tawuŋnom сущ
испытывать,ɬentawoŋa- п1; tawoŋzo- п1; tawuŋ- п1; tawuŋet- п1
испытывать жажду,ik'sxuleʔɬ- неп
испытывать симпатию,kəmŋa- неп
исследовать,əɬčkust- п1
исток реки,čkaɬxən сущ
истолочь,χamtala- п1
исцарапаться,k'ulesxen- неп
исцеление,ənmelenom сущ
исчезать,ameɬat- неп;
ительмен,itənmən сущ
ительменская кухня,silqsilq сущ
ительменские песни,xodilaʔn сущ
ительменский,itənmənʔin прил
их,itχ мест; tχiʔin мест
ихний,tχiʔin мест
Ича,Сič' собств
к близкому месту,tmalke нареч
к ним,txeʔanke мест
каждый,kazdoj прил; kin-kim прил; qemqe
кажется,fisx межд
казаться,ɬuzwen- неп
кайма,nik'ileʔnəŋ сущ
кайма у обуви,akewaʔnəm сущ с.; akewəm сущ
как,last нареч; mank нареч с.; manke нареч
как будто,qaʔtx част; χamux нареч; eɬaq союз
каким образом,ӑŋqaɬ мест
какой,mankenan прил; min мест; menkenan прил с.; saq прил
как-то раз,kuniɬwin нареч
каменистый,kwaʔan прил
каменное корыто,oʔult сущ
каменный,waʔan прил
каменный голец,fačq сущ
каменный пест,spe сущ; tqniŋ сущ с.
каменный скребок для шкур,insxul ameɬatat- сущ
камень,ʷwapk'ol сущ; wač сущ;
исщипать,k'ozesxenet- kof п1
камень краеугольный,pəlwač сущ
камень крупный,oʔolt сущ
камень плоский,zenzol сущ
камлейка (защитная одежда от снега),luɬnəŋ сущ
камус,kaseŋʔan сущ; pənzəŋ сущ
каяться,teŋse- неп
квасить,əntɬa- п1
квашенная рыба,filwilte- неп
кедрач,stowal сущ
кедровая шишка,kunkun сущ
кедровка,kakač сущ
кедрового ореха,яdro сущ; fifsuʔn сущ kaɬimtoŋ сущ
кедровые шишки собирать,wačeʔn сущ
каникулы,kaɲikulaʔn сущ
капать,est- неп; estala- неп
капелька,ŋestk'eɬčχ сущ
капкан,kapkan сущ
капканы ставить,ančxlet- п1
капля,ŋestk'eɬčχ сущ
капризничать,inč'ele- неп
капуста,kapusta сущ
капюшон,kzixč сущ
капюшон кухлянки,kukoniŋ сущ
карандаш,karandaʂ сущ
караулить,anfčoʔɬ- неп; inju- п1; injusxen- п1; inenju- неп
картофель,kartofeʎaʔn сущ; čxrojk'ačχ сущ
касаться,sŋeza- п1
кастрюля,kukeč сущ
катать,ɬintxletzo- п1; ənkmese- п1
кататься по льду,ŋoɬkat- неп
кататься с горы,tχlitzu- неп
катить,ənkmese- п1
катиться,kmesi- неп; sali- неп
каткий,iɬχlaχ прил
каток,ŋoɬkeŋ сущ
качать,ənqelew- п1; ənqelewet- п1
качаться,qele- неп
кашель,asat сущ
кашлять,askɬ- неп
каюр,ʷkejux kuneŋt- сущ
кедровый орех,kuɲɬel сущ
кедровый орешек,kuɲɬel сущ
кедровый стланик,ʷstopk'ul сущ; stotəm сущ
кета,qek'f сущ
кивать,ʷpneŋat- неп; č'sxən- неп; č'sxənet- неп
кидать,tkit- п1
кижуч,kəzwəs сущ; skan сущ с.
килыкил,kilikil сущ; ɬilum сущ
килыкил смесь,liʔlum сущ
кимчига,lqlam сущ; nexirk'at- неп; rəmŋen сущ; toɬ- неп; əlqlam сущ
кимчигу искать,tolk'aʔ- неп
кипеть,qejwe- неп
кипеть долго или интенсивно,qejwezo- неп
кипрей,ninəm сущ
кипрей собирать,niŋt- неп
кипрей собирать в посуду,alxpaʔɬ- неп
кипрейное лыко,kumɬxil сущ
кипрея заросли,ninal сущ
кипрея стебель приготовленный,alxp сущ
кипятить,ənqejwe- п1
кислая рыба,filwil сущ
кислая рыбья головка,kɬčleč сущ
кислое мясо,filwil сущ
кислый,kɬčlaχ прил
кислым отдавать,kʎčlate- неп
киснуть,t'ɬa- неп
кит,juŋjučχ сущ; juŋəju сущ
кишка,ziwəs сущ с.; siwəs сущ; sjajolŋən сущ
кишки,k'azwizwač сущ
кланяться,ʷpneŋa- неп; t'ɬ- неп
клапан-нагрудник кухлянки,eʔnweɬ сущ
класс,klass сущ
класть,zuwe- неп; zuwe- п1; əzzu- п1; əzzut- п1; əzu- п1 с.; əzus- п1 с.
класть для себя,əzzu- неп
класть за пазуху,paŋza- п2; paŋzat- п2
клевать,toktonaʔɬ- неп; toktoŋo- п1
клевать(ся),toktoŋoʔɬ- неп
клеить,netməɲɬ- п1
клеймить,kəlwa- п1; əɬtq- п1
княженика,ijanočχ сущ
ковать,tala- п1
Ковран,Кawral собств
ковчег,kowčeg сущ
ковш,anӑs сущ
ковыряться,txela- неп
когда,it'e союз
когда-то,it'e союз
кого,k'e мест
коготок,k'ek'wečχ сущ
коготь,k'ufk'uf сущ; k'ek'f сущ
кое-как,amsaneq нареч; falasxa нареч
кожа (человека),kilwiɬχ сущ
кожа рыбья,xinsx сущ; ənsx сущ с.
кожаные штаны,čopak'e сущ
корзины,inmeŋ сущ
кожное заболевание,əmk'əsx сущ
козырек женского капора,kond'er сущ
козявки в носу,ŋapsk'eʔl сущ
кол,newlaz сущ; upuw сущ с.;
дистрибутивно,kəlwat- upew п1
клеймить собаку,eʎtqa- п1
клин женского капора,t'iɬit'iɬ сущ
меховых чулок,č'um сущ
кличка,χelaŋ сущ
клочья рвать,č'essxen- неп
клуб,klub сущ
клубком свернуться,kowos- неп
клюв,non сущ
клюква,kʎukwa сущ; č'ik'məŋ сущ
ключ,niqeʔnəŋ сущ
ключик,Кʎučik собств
потягу,mumkel сущ
книга,kɲiga сущ
кол (передний) запора,k'nəč сущ
колбаса кровяная,wetčineʔ сущ
колено,zizeŋ сущ с.; sezeŋ сущ
колесо,k'elanŏm сущ
колокольчик коровий,d'iŋʎiŋʎačχ сущ
колокольчиками звенеть,d'iŋɬiŋɬ- неп
колотить,kowa- п1
кольев,qesq сущ
колоть,til- п1; tilsxen- п1; ənt'sxin- п1
колотье,ankalwas сущ
колоться,intxəleʔɬ- неп
колыбальная песня,qerweʎu сущ
колыбель,zipkeʔ сущ
колыхаться,atərwate- неп; χele- неп
рыболовного запора,toŋoɬ сущ
кольцо,ʷkmesem сущ
корюшки,raqlawəm сущ
колючий,k'intxilʔin прил
колючими плавниками,sistxil сущ
колючка,intxil сущ
комар,qeɬč'um сущ
комбинезон,kalŋakerčaχ сущ с.;
копить,iwu- п1
копкой долго заниматься,satut- неп
копотью покрыться,iperwe- неп
копошиться,txela- неп
коптить,ʷt'i- п1; ʷənt'i- п1
копылье нарты,msoŋ сущ
копыта,jajpeʔn сущ
копье,qajtkel сущ; pojtəl сущ
кора,ilal сущ
кора березы съедобная,k'uxk' сущ
кора ольховая,ilal сущ
корень,pŋilpŋil сущ; seɲɬ сущ; ŋawkeračχ сущ əsk сущ
комбинезон женский,xonpeŋ сущ
комель бревна,tnakol сущ
комната,χaqa сущ
конец,piɲɬfnom сущ
конечно,liɬi нареч; ee межд
конопатить,utika- неп; utika- п1
конский щавель,nirwin сущ;
корень водяного растения,iered сущ
корень медвежий,χequm сущ; čqawom сущ
корень медовый,skwom сущ
корень съедобный,χuʔŋunuŋ сущ
корзина,inemseʔnəŋ сущ; pekkečx сущ mumx сущ
контрольный,kontrol'noj прил
конура,attara сущ
кончать,piɲɬf- п1
кончать(ся),piɲɬf- неп; piŋɬfat- неп
кончаться,ɬf- неп; ɬfeʔne- неп; piɲɬfaʔɬ- неп; piŋɬfet- неп
конь,koɲa сущ
копалка для сараны,qŏsqŏs сущ
копать,reŋo- п1; reŋoʔɬ- неп; satu- неп; satu- п1; satut- неп; satut- п1
копать руками,reŋo- п1; reŋoʔɬ- неп
копать сарану,iɲč'- неп
копаться долго,tewu- неп
копаться долго за едой,ŋipsxen- неп
копейка,kopejkaʔ сущ
корзина берестяная,ač'al сущ
корзина плетеная травяная,č'ipsqel сущ
корзинка,č'ipsqel сущ
корзины ободок,inmeŋ сущ
корка обожженная,k'wasχq сущ
корм,nonom сущ
кормить,ɬinnu- п1
кормить ребенка жвачкой,ilʔel- п1
кормушка,nuknen ʷqepx сущ
корнеплод,qlitx сущ; omeq сущ
коробка,koɬton сущ; χamɬχjoɬxen сущ
корова,korowaʔ сущ
коровий колокольчик,d'iŋʎiŋʎačχ сущ
короткая щека запора,ikəmt'ezeŋ сущ
короткие торбаза,ikumpʎikeʔn сущ
короткий,ikəmʎaχ прил
коротко,ikəmq нареч
короткохвостая мышь,ikəmčxen сущ
короче становиться,ikəmse- неп
кору снимать,k'ulu- п1; ulu- п1; uluʔɬ- неп
корчевать,satut- неп
корчиться,aŋqan it- неп
коршун,pxakč сущ
корыто,kuriteʔ сущ; ʷqepx сущ
корыто для жира,χəmɬχjoɬxən сущ
корыто каменное,oʔult сущ
корыто с выступами,seɬɲit͡s сущ
корюшка,qawač сущ
корюшка малая,ənŋaqečχ сущ
коряк,korak сущ; tafʎo сущ
коряк оседлый,Кɬxitilan сущ
коса (волосы),kosam сущ; tk'lom сущ; t'k'lom сущ
коса (мыс),keʎxen сущ
"коса (сельскохозяйственное 
орудие)",kosaʔ сущ
коса речная,tosx сущ
косить,koseʔɬ- неп
косить траву,koseʔɬ- неп
космонавт,kosmonawt сущ
космос,kosmos сущ
кострище,ujiritnom сущ
кость,ʷktχӑm сущ; kčk'oŋ сущ; qtχam сущ; tχam сущ
кость дробленая,χamtala сущ
костяшками бить,xuxula- п1
косяк дверной рамы,kolodaʔ сущ
котёл,kukeč сущ
котлета,teɬnaʔ сущ
котлета из рыбы,teɬnoj сущ
который,min мест
коты морские,tatʎač сущ
кочевать,jalat- неп; jalwet- неп; jalwetat- неп
кочевки место,jalwatnom сущ
кочевье,jalwetatnom сущ
кочерга,kʎuka сущ
кочка,simq' сущ; ʷsəmk' сущ
кошелка,č'ipsqel сущ
кошка,koʂka сущ
краб,qewinəŋ сущ
краеугольный камень,pəlwač сущ
край воды,iʔɲɬəm сущ
крапива,qazwum сущ
крапивы заросли,qazwal сущ
красиво,č'inaq нареч с.; č'inəŋ- А; č'inəŋq нареч
красивый,xixliŋlaχ прил; činiŋlaχ прил; č'inəŋlaχ прил
красить,anzazo- п1; krase- п1
красить что-либо ольхой,kskizla- п1
краска,anzas сущ; anzaʔnoŋ сущ; tqinsreŋ сущ kraskaʔ сущ
костер,ujirit сущ; ximɬx сущ
костный мозг,qomloqom сущ
костный мозг есть,qomla- неп
косточка в ягодице,kčk'oŋ сущ
красная рыба,ksus сущ
красная смородина,mrorotem сущ
краснеть,č'ač'a- неп
красноватая сыпь,esx сущ
красное,əɲč'ač'ala- п1
красный,krasnoj прил; č'ač'a- А; сущ č'ač'alaχ прил
красота,činəŋčinəŋ сущ; č'inəŋč'inəŋ сущ
красотой любоваться,činəŋʔe- неп
красть,č'iri- неп; č'iri- п1
крашеный,ktwelaχ прил
крениться,sqens- неп
крепкий,ičxlaχ прил; ktlaχ прил
крепко,ktaq нареч
крепко спать,ʷŋiksini- неп
крепко стоять,tχzoʔŋe- неп
крестить,kreste- п1
креститься,kresteʔɬ- неп
крестный,krestnoj сущ
кривить,sqensxen- п1; tqens- п1; əntqensxen- п1
кривиться,sqens- неп; tqens- неп
крик,kelkel сущ
кричать,kel- неп; tajŋa- неп; čxča- неп; eŋalelet- неп
кричать многократно,kelsxen- неп; kelit- неп
кричать по-оленьи,qorkɬ- неп
кровать,aɲts сущ
кровеносный сосуд,tjotjəm сущ
кровоточить,əɲɬim- неп
кровь,mɬim сущ
кровь проливать,neseŋ- п1
кровяная колбаса,wetčineʔ сущ
кроить,ɬel- п1
кроншнеп,tuwaq сущ; tuwaq сущ
крохаль,atsk'aj сущ; t'əlt'əl сущ
крошить,ənkwe- п1
крошиться,kwe- неп
крошка от юколы,tχitχesxq сущ
крошки пищи,kwesxqeʔn сущ
крошки рыбы,čimsxqaʔn сущ
круг,ʷkmesem сущ
круг для дробления костей,sonzalx сущ
круглый,krugloj прил
кружить,ənk'ilazo- п1; ənk'elala- п1; ənk'ele- п1; ənk'elet- п1
кружиться,k'ili- неп
кружка,kruskeʔ сущ
крупная посуда,qamaŋa сущ
крупный,ʷplaχ прил
крупный камень,oʔolt сущ
крутить,ənk'elet- п1
крутой склон,eʔle сущ
крыло,seseŋ сущ; telxp сущ
крыть крышу,time- неп; time- п1
крыша,krowʎaʔ сущ; taməs сущ
крышу крыть,time- неп; time- п1
крючок деревянный,qaʔnantaʔnŏŋ сущ
либо из бочки,bawračχ сущ
крючок-вешалка для сети,č'əmkečχ сущ
кряква,qanχs сущ; xet'əwal сущ
кряхтеть,qanɬ- неп
кто,k'nintx мест; k'nəntx мест; k'e мест
кто-то,k'eečχ мест
куб чулком снятая шкура,kupx сущ
кувыркаться,pəlk'azat- неп
куда,manke нареч
куда попало,menalanke нареч
кудрявый,ksəŋraʔan прил
кудрявый человек,səŋraqel сущ
кузнец,ktalaʔan сущ
кузнечный мех,iisluʔɬneŋ сущ
кузов,oromx сущ
кукла,χeʔluč сущ
кукуль,ksxča- неп; ksxčaʔneŋ сущ
кукушка,qequq сущ
кулак,ʷtəɬq сущ
кулик,tuwaq сущ; tuwaq сущ; t'ot'ot' сущ; urilwič сущ; čiriričx сущ
культурный,kul'turnoj прил
кунжа,kunze сущ
купить,eɲɬata- неп
курильский ветер,nineʔ сущ
курительная трубка,kansa сущ
курить,kansa- неп
куропатка,rewne сущ
кусать,ampəl- неп; pəl- п2; pəlsxen- п2; pələt- п2
кусаться,ampəl- неп; ampəlsxenaʔɬ- неп
куски от пласта рыбы,mənsəŋ сущ
кусок,ansχ сущ
кусок льда,kaɬčfsəm сущ
кусок меховой шкурки,wojdanəŋ сущ
шейной части летнего капора,nepuneč сущ
кусочек,aɲačχ сущ
куст,ʷfizwum сущ
куст жимолости,ləltanom сущ
куст кедрового стланика,stotəm сущ
куст тальника,č'eč'em сущ
кустарник,ʷfizwal сущ
кутаться,č'es- неп; č'essxen- неп
Кутх,Кutxaj собств; Лukaɬč собств
"Кутх (собственное имя, герой 
ительменских сказок)  ",Кutx собств
кухлянка,jerwač сущ; qowsqel сущ с.; eʎwəmək сущ
кухлянка теплая,kawaʎo сущ
кухлянка-парка,qofč сущ
кухлянки капюшон,kukoniŋ сущ
кухня,kute сущ
кухонный,kuteʔin прил
кушанье,nowaɬes сущ
кушанье из морошки с рыбой,filk'intora сущ
кушанья вид,kilikil сущ
кушать,tχӑl- п1
лагерь,čwanom сущ
ладно,teŋq нареч
ладонь,manzəŋ сущ
ладоши хлопать,qəmt'k'a- неп; laduskaʔɬ- неп
лаз,č'enom сущ
лакомиться,č'eɬelat- неп
лампа,piŋč сущ
ласкать,awazeʔɬ- неп;
вәнкэ,iɬ- п1
ласкаться,awaze- неп
ласковый,k'awazeʔan прил
ласт нерпы,t'k'oxč сущ; čukčuk сущ
ласточка,atk'aʎačχ сущ
латать,ɬinmiti- п1
латать обувь,atɬemk'at- п1
лахтак,laxtak сущ
лахтак в один год,moja сущ
лахтак двухлетний,kewew сущ
лахтак старше пяти-шести лет,toremel сущ
лахтак старый большой,qleqaməŋ сущ
лахтак трехлетний,xekewex сущ
лахтак четырех лет,t'mk'ek' сущ
лаять,ač'e- неп
лаять (о собаке),awla- неп
лгать,maja- неп
лебедь,mesxu сущ
лебяжье коренье,iered сущ
левый,l'ewoj прил; sič'eŋan прил
легенда,amŋel сущ
легкий,əmsxulaχ прил
легко,əmsxuq нареч
легкое,rseres сущ
лед,kaɬčfsəm сущ; ktwolčaχ сущ; ketwol сущ
ледяная полянка,ŋoɬkeŋ сущ
ледяное поле,kaɬčfsəm сущ
ледяной,ketwolʔan прил
лежанка,aɲts сущ
лежать,ʷsŏl- неп; sollo- неп
лежать вольно широко,pla- неп
лежать долго,sollozo- неп
лежачий баран нарты (горизонтальная дуга),baran сущ
лежбище,solnom сущ
лезвие ножа,pekul сущ
лекарство,ʎekarstwaʔ сущ
ленивый,kɬčilaχ прил; lukawoj прил
лениться,ilk'est- неп; kɬčila- неп; kɬčel- неп
лента в косе,k'imamtenŏŋ сущ
лентяй,kɬčilaχ сущ
лес,ačəɲčx сущ; sin- А
лес тальниковый,lilum сущ
лес-березник,uxt сущ
лесной,sinʔin прил; uxt'in
лестница,amanəm сущ; kič сущ
лет,kɬalaʔn сущ
летать,siŋ- неп; siŋzu- неп; siŋet- неп; seŋzo- неп
летнее жильё,laʔmstnom сущ
летнее стойбище,lamɬnom сущ
летние торбаза,čkatɬeʔn сущ
летний,lamɬʔan прил
летник,lamɬnom сущ; laʔmstnom сущ; ɬxanostnom сущ
летняя обувь,alačikaʔn сущ
летняя промысловая обувь,ikəmplikeʔn сущ
летняя хижина,lamɬnom сущ
лето,lamɬ нареч
летовать,lamɬ- неп; laʔmst- неп
летом,lamɬ нареч
лечебный,ʎečeʔɬknen прил
лечить,leči- п1; lečiʔɬ- неп; ʎeči- п1; ənqečeʔɬ- п1; eʔŋuŋi- неп
лечиться,ʎečeʔɬ- неп
лечь,sollata- неп; eɬč- неп; eɬčata- неп
леший,taɲɬkas сущ
лизать,təʔme- п1
лилия,opsanka сущ; temeq сущ
линейка,linеjka сущ
линять,atx- неп; ič'e- неп; suwu- неп; tp- неп
липкий,ktməlʔan прил
липнуть,tməl- неп
лиса,"tsxalastas сущ; t'sal, t'salaj сущ"
лисица,"t'sal, t'salaj сущ"
лист дерева,pəllapəl сущ
листва,pəllal сущ
лиственница,kəzwum сущ
лить,ins- п1
литься,ins- неп
лицевая сторона,fewaŋ сущ
лицимер(ный),temjuŋlaχ прил
лицо,fewaŋ сущ
лицом вверх,pəlk'aŋ нареч
лицом вниз,pneŋ нареч
личико,feečχ сущ
лишай,əmk'əsx сущ
лишний,ʎisɲoj прил
лоб,kčeč сущ
ловить,inənk- неп; ənk- п2; ənkaʔɬ- п2
ловить оленей,čaʔwat- неп
ловить рыбу,əzzaʔno- неп; əɲčsχmo- неп
ловить рыбу неводом,xilwiŋt- неп; xiliwiŋtzo- неп
ловиться,ka- неп
ловкий,nmitqen прил
ловко,loxko нареч
ловушка,tqapes сущ; xap сущ
ловушка для тюленя,kupxč сущ
ловушка запора для гольцов,qelqelwin сущ
песца,kuʎumke сущ
лодка,sʎupka сущ
лодка (охотничья),bajdar сущ
лодка долбленая,txtum сущ
лодку привязывать,tupez- п1; tχtupes- неп
ложиться,eɬχt'eŋ- неп; eɬč- неп
ложиться ничком,ʷpneŋa- неп
ложка,loska сущ; čkpəč сущ
ложкой зачерпывать,paju- неп
ложкообразное весло,apč'k'əl сущ
лозина,nanx сущ
локоть,lot'il сущ
ломать,ŋek'ol- неп; ənk'ol- п1; ənk'olsxen- п1; ənk'olet- п1
ломаться,k'ol- неп; k'olsxen- неп; k'olet- неп
лопата,učkpen сущ
лопатка,paspat сущ
лопнуть,pčinti- неп
комбинезона,petečχ сущ
лоскуток юколы,tχitχiŋ сущ
лососевая рыба,č'uwaj сущ
лососевой икры вязка,intχzesχ сущ
лохматый,moqre прил
лошадь,koɲa сущ
лошадь переводить,ənɬemza- п1
лощина,izuwezəm сущ
луб,ulx сущ
луб березы,iwk' сущ; k'uχq сущ
лужа,ʷkəɬfčaχ сущ; čk'emt сущ
лужайка,usx сущ
лук,luk сущ; č'it сущ
лук дикий,luqujŋin сущ
лукавый,temjuŋlaχ прил
луна,jaalŋən сущ с.; jaʔəlwəčχ сущ; lač kɬfiŋleʔin сущ; mesit͡s сущ
лунатик,sel- неп
лучше ,luče; lučes нареч
лучше бы,aʔlom межд
лыжи,leŋaʔn сущ
лыжная подбивка,anst'wolnoŋ сущ
лыжное дерево,leŋa uʔ сущ
лыжные крепления,juqseʔn сущ
