слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
эӄэӄэ,,,,междометие,,,,,холодно! (от брызг холодной воды),,,,,,,
эӄэл-,,,,глагол,переходный1,эӄэлэс,,,"отвергать, отводить кого-либо, браковать чтолибо",,,,,,,
элваләӈ,,элвэлэӈ,,существительное,,,иʔл,,1) ухо; 2) часть женского капора,,,,,,,
элвэнтзо-,,,,глагол,непереходный,элвэнтзокас,,,рыбачить,,,,,,,
элвэнтзокиԓӽ,,,,существительное,,,элвэнтзокилаʔн,,рыбак,,,,,,,
элвэтԓ-,,,,глагол,непереходный,элвэтԓкас,,,собирать яйца морских птиц - один из древних промыслов ительменов,,,,,,,
элзэно-,,,,глагол,непереходный,элзэнокэс,,,напиться,,,,,,,
элозьайэлкʼэн,,,,существительное,,,,,"склад для вещей, амбар",,,,,,,
элпакʼ,,,,существительное,,,элпакʼаʔн,,"часть черепа возле уха, перен. глухой, непослушный",,,,,,,
элфԓэʔԓ-,,,,глагол,непереходный,элфԓэʔԓкас,,,"заниматься разделокой туш, снятием шкур",,,,,,,
элфсэнŏм,,,,существительное,,,-,,1) долг (нравственный); 2) послушание,,,,,,,
элэʔԓ-,,,,глагол,непереходный,элэʔԓкас,,,,,,,,,,
эљвәмәк,,,,существительное,,,эљвәмәкэʔн,,"одинарная, холодная кухлянка (с выстриженной шерстью)",,,,,,,
эљвэ-,,,,прилагательное,,,,,,,,,,,,
эљтӄа-,,,,глагол,переходный1,эљтӄас,,,клеймить собаку (отрезать часть уха у нее),,,,,,,
эԓаӄ,,,,союз,,,,,как будто,,,,,,,
эԓвэрчом,,иԓвэрчэм,,существительное,,,,,блеск,,,,,,,
эԓф,,,,существительное,,,эԓфәʔн,,"мездра, также подкожная шкурка рыбы",,,,,,,
эԓӽтʼэӈ-,,,,глагол,непереходный,эԓӽтʼэӈкас,,,ложиться,,,,,,,
эԓч-,,,,глагол,непереходный,эԓчкас,,,"ложиться, лечь",,,,,,,
эԓчала-,,,,глагол,непереходный,эԓчалакас,,,немного помолчать,,,,,,,
эԓэвйуӄ,,эԓэʔвйук ,,существительное,,,эԓэвйуӄэʔн,,"1) старый (неповоротливый) медведь; 2) неуклюжий, неповоротливый, медлительный человек (главным образом старый, но также и молодой)",,,,,,,
эм,,,,наречие,,,,,только (частица),,,,,,,
эмкʼ-,,эмӄʼ ,,существительное,,,эмкʼэʔн,,"бульон из мяса, рыбы (вода, в которой варилась рыба или мясо)",,,,,,,
эмэлвэзакʼԓ-,,,,глагол,непреходный,эмэлвэзакʼԓкас,,,меркнуть,,,,,,,
эмэнэӈ,,,,существительное,,,эмэнэʔн,,ступенька лестницы ,,,,,,,
энавна-,,,,глагол,переходный1,,,,отбирать,,,,,,,
энат,,,,существительное,,,энатэʔн,,"петля, силок (на зайца, на птицу)",,,,,,,
энатала- ,,,,глагол,непереходный,энаталакас,,,"бить, драться, толочь",,,,,,,
энахԓ-,,,,глагол,непереходный,энахԓкас,,,заниматься сбором урожая,,,,,,,
энвэл-,,,,глагол,непереходный,энвэлкас,,,"собирать, подбирать (с пола, с земли нечто рассыпанное)",,,,,,,
энӄэмԓ,,"инкэмԓ, энкэмԓ",,наречие,,,,,"столько (до таких пределов, до такого срока)",,,,,,,
котса-,,,,глагол,непереходный,котсакас,,,расширяться,,,,,,,
коф ,,кох,,существительное,,,кофаʔн,,камень,,,,,,,
кочевой,,,,прилагательное,,,,,кочевой,,,,,,,
кочʼӽ,,,,существительное,,,кочʼӽаʔн,,спинка рыбы,,,,,,,
кошка,,,,существительное,,,кошкаʔн,,кошка,,,,,,,
˚кпиӈэтэкнэн,,,,прилагательное,,,,,пыльный,,,,,,,
кпойтәлʔан,,,,прилагательное,,,,,вооружённый,,,,,,,
кпхалʔан,,,,прилагательное,,,,,дырявый,,,,,,,
кпэтсакнан,,,,прилагательное,,,,,старый (гл. образом вещь),,,,,,,
краква,,,,существительное,,,кракваʔн,,стоячий баран юрты,кракваʔ,,,,,,
краскаʔ,,,,существительное,,,краскаʔн,,краска,,,,,,,
красной,,,,прилагательное,,,,,красный,,,,,,,
красэ-,,,,глагол,переходный1,красэс,,,красить,,,,,,,
крвэԓу-,,кирвэԓу-,,глагол,переходный1,крвэԓус,,,убаюкивать ребёнка,,,,,,,
крвэԓхатас,,,,существительное,,, крвэԓхатазэʔн,,"1) беседа, разговор; 2) речь; 3) язык",,,,,,,
крвэԓхэт-,,крвэԓхат-,,глагол,непереходный,крвэԓхэткас,,,"беседовать, говорить",крвэԓхэтном,әнкрвэԓхэт-,,,,,
крвэԓхэтном,,,,существительное,,,,,"разговор, язык",,,,,,,
кровљаʔ,,,,существительное,,,,,крыша,,,,,,,
круглой,,,,прилагательное,,,,,круглый,,,,,,,
крурэв-,,,,глагол,непереходный,крурэвкас,,,"волноваться, переживать",,,,,,,
крускэʔ,,,,существительное,,,крускэʔн,,кружка,,,,,,,
крьучок,,,,существительное,,,крьучкаʔн,,крючок (для одежды),,,,,,,
крәват-,,,,глагол,непереходный,крәваткас,,,сильно гореть,ԓинкрәват-,,,,,,
ԓинкрәват-,,,,глагол,переходный1,ԓинкрәватэс,,,разжигать сильный огонь,,,,,,,
крэ-,,,,глагол,непереходный,крэкас,,,"горчить, чадить (горящий жир и под.)",ԓинкрәват-,,,,,,
крэнкэйоԓхән,,,,существительное,,,,,берестяной туес для молока,,,,,,,
крэстной,,,,существительное,,,,,крёстный,,,,,,,
крэстэ-,,,,глагол,переходный1,крэстэс,,,крестить,крэстэʔԓ,,,,,,
крэстэʔԓ,,,,глагол,непереходный,крэстэʔԓкас,,,креститься,,,,,,,
крэсэчӽ,,крэсинч,,существительное,,,крэсэʔњч,,снегирь,,,,,,,
кскизла-,,,,глагол,,кскизлас,,,красить что-л. ольхой,иксказлаан,,,,,,
кскозо,,,,междометие,,,,,стыдно!,,,,,,,
кскозолаӽ,,,,прилагательное,,,,,"стыдливый, стеснительный, робкий",кскозоӈан,,,,,,
кскозоʔԓ-,,,,глагол,непереходный,кскозоʔԓкас,,,"стыдиться, стесняться",,,,,,,
кскәззал,,,,существительное,,,-,,"ольшаник, заросли ольхи",,,,,,,
кскәт,,"кскәс, ӄсӄәс",,существительное,,,кскзэʔн),,"ольха тундровая, ольха горная",,,,,,,
ксӄәнсхэнʔин,,,,прилагательное,,,,,извилистый (о реке),,,,,,,
ксолх,,"˚ксәлх, кшулх, ксох, ксалх",,существительное,,,ксәлхаʔн,,"1) пузырь, желудок; 2) шина, кислородная подушка",,,,,,,
ксота,,,,наречие,,,,,мимо,,,,,,,
ксота-,,,,глагол,непереходный,ксотакас,,,"сворачивать, обходить стороной",,,,,,,
ксоʔн,,,,существительное,,,,,боковые камусы зимней обуви,,,,,,,
кстʼаван-,,кстаӈан,,глагол,непереходный,кстʼаванкас,,,сильно саднить,кстаӈан,,,,,,
кстʼи-,,,,глагол,непереходный,кстʼэкас,,,саднить (вид боли - от пореза или ожога),,стʼэнын,,,,,
кстʼлаӽ,,,,прилагательное,,,,,терпкий,,,,,,,
ксуӄкнэн,,,,прилагательное,,,,,гнилой,,,,,,,
ксуњԓиԓ,,,,прилагательное,,,,,живой,,,,,,,
ксус,,"кшун, ктун, кшиж, кшуш, кшуз, ксән",,существительное,,,ксусэʔн,,нерка или красная рыба,,,,,,,
ксхи-,,,,глагол,непереходный,ксхэкас,,,нуждаться,,,,,,,
ксхлыт- ,,,,глагол,непереходный,ксхлыткас,,,"проголодаться, голодать",,,,,,,
ксхләтʼин,,,,прилагательное,,,ксхләтʼиʔн,,"голодный, ненасытный",,,,,,,
ксхләтʼин,,,,существительное,,,ксхләтʼиʔн,,обжора,,,,,,,
ксхлэ-,,,,глагол,непереходный,ксхлэкас,,,"показываться, появляться",кхслэном,әнксхлы-,,,,,
кхслэном,,,,существительное,,,ксхлэноʔн,,"знамение, знак",,,,,,,
ксхча-,,,,глагол,непереходный,ксхчакас,,,залезать в кукуль,,,,,,,
ксхчаʔнэӈ,,,,существительное,,,ксхчаʔнэʔн,,кукуль (спальный мешок из оленьей шкуры),,,,,,,
ксӽзоʔас,,,,существительное,,,ксӽзоʔазэʔн,,водяной,,,,,,,
˚ксәлх,,ксолх,,существительное,,,˚ксәлхаʔн,,нерпичий пузырь,,,,,,,
ксәӈраʔан,,,,прилагательное,,,,,кудрявый,,,,,,,
ксэнэ-,,ксины-,,глагол,непереходный,ксэнэкас,,,"остывать (чай, пища)",,,,,,,
ксэӈзоʔан,,,,прилагательное,,,,,некто летающий (о птицах и насекомых),,,,,,,
ктаӄ,,,,наречие,,,,,"крепко, твёрдо, прочно",,,,,,,
кталаʔан,,,,существительное,,,кталаʔаʔн,,кузнец,,,,,,,
ктволчаӽ,,,,существительное,,,,,лёд,,,,,,,
ктвэ-,,,,глагол,непереходный,ктвэкас,,,"чернеть, почернеть",,,,,,,
ктвэлаӽ,,,,прилагательное,,,,,"чёрный, крашеный",,,,,,,
ктвэном,,,,существительное,,,ктвэноʔн,,синяк,,,,,,,
ктлаӽ,,,,прилагательное,,,,,"крепкий, твёрдый, прочный",,,,,,,
ктмәлʔан,,,,прилагательное,,,,,липкий,,,,,,,
ктскавэлкнан,,ктскавэлкнэн,,существительное,,,ктскавэлкнаʔн,,"пленный, пленник, узник",,,,,,,
ктскиԓ,,,,наречие,,,,,вверх ногами,,,,,,,
ктхаст-,,,,глагол,непереходный,ктхасткас,,,"проводить осень, «осеновать»",,,,,,,
ктхиӈ,,кәмтʼӄол,,существительное,,,ктхиʔн,,голова человека,,,,,,,
ктхлотэкнэн,,,,существительное,,,,,старая (пожилая) женщина,,,,,,,
ктхлэ,,,,наречие,,,,,осенью,,,,,,,
ктхлэнԓ-,,,,глагол,непереходный,ктхлэнԓкас,,,"осеновать, проводить осень (за сезонными работами)",,,,,,,
ктхлэʔин,,,,прилагательное,,,,,осенний,ктхан,,,,,,
ктхнуʔин,,,,прилагательное,,,-,,полный (наполненный),,,,,,,
ктхәм,,,,существительное,,,,,земля как строительный материал,,,,,,,
ктхәмра,,кʼиӈухт,,существительное,,,ктхәмраʔн,,"землянка, дом, обложенный дёрном",,,,,,,
ктхэԓхән,,,,существительное,,,ктхэԓхэʔн,,"1) темя, макушка; 2) вершина сопки, горы",,,,,,,
˚ктӽӑм,,тӽом,,существительное,,,˚ктӽмиʔн,,кость,,,,,,,
ктӽамта,,,,существительное,,,ктӽамтаʔн,,мышиный амбар,,,,,,,
ктӽӑс,,ктӽас,,существительное,,,˚ктӽзэʔн,,дорога,,,,,,,
ктӽӑсчаӽ,,,,существительное,,,ктӽзэʔњч,,тропинка,,,,,,,
ктырвиткнэн,,,,прилагательное,,,,,"жирный, полный (о человеке, животном)",,,,,,,
ктэп,,,,существительное,,,ктэпаʔн,,горный баран,,,,,,,
кувумнук,,,,числительное,,,,,пять,,,,,,,
кузов,,,,существительное,,,кузоваʔн,,кузов грузовика,,,,,,,
куйнәӈ,,,,существительное,,,куйнэʔн,,рукоятка ножа,,,,,,,
куконыӈ,,кукуњәӈ,,существительное,,,куконэʔн,,капюшон кухлянки,,,,,,,
кукуњәӈ,,,,существительное,,,,,капюшон кухлянки,куконыӈ,,,,,,
кукэ-,,,,глагол,переходный1,кокас,,,"варить, сварить",,,,,,,
кукэ-,,,,глагол,непереходный,кокэкас,,,"варить (заниматься варкой), стряпать",коказо-,кокала-,коката-,кокатазо-,,,
кукэйэԓхэн,,,,существительное,,,,,посуда для варки,,,,,,,
кукэч,,,,существительное,,,кукэʔн,,"кастрюля, котёл",,,,,,,
кул,,,,наречие,,,,,поперёк,култкас,,,,,,
кулӽойанәм,,,,существительное,,,,,прорез в копылье,,,,,,,
кулӽәм,,,,существительное,,,,,"вязок, деталь нарты",кулхум,,,,,,
культурной,,,,прилагательное,,,,,культурный,,,,,,,
кулэч,,,,существительное,,,кулэʔн,,месяц (промежуток времени),,,,,,,
куљумкэ,,,,существительное,,,куљумкэʔн,,"ловушка на соболя, горностая, песца",,,,,,,
куԓӽ,,куљх,йэмалк,существительное,,,-,,тундра,кухад,,,,,,
куԓӽ,,ӄуԓӽ,,существительное,,,куԓӽэʔн,,"нерпичья шкура, шкура в целом",кульх,,,,,,
кумисх,,,,существительное,,,кумисхэʔн,,большая муха,ӄумшля,,,,,,
кумԓхил,,,,существительное,,,кумԓхиʔл,,кипрейное лыко,кунԓх,,,,,,
кумх,,"хумх, кимх",,существительное,,,"кумхэʔн, кумхиʔн",,"задняя часть тела, ягодицы",,,,,,,
кумэ-,,комэ-,,глагол,непереходный,комакас,,,"одеваться, обуваться",,,,,,,
кунзэ,,,,существительное,,,,,кунжа,,,,,,,
кункун,,,,существительное,,,куʔн,,кедровая шишка,,,,,,,
кунԓх,,,,существительное,,,,,кипрейное лыко,кумԓхил,,,,,,
˚кўнхт,,,,существительное,,,˚кўнхсэʔн,,глухарь,,,,,,,
куныԓвин,,,"ӄуњэԓин, кунэԓэӈ",наречие,,,,,"однажды, как-то раз",,,,,,,
кунэԓэӈ,,,куњиԓин,наречие,,,,,однажды ,куныԓвин,,,,,,
кунэмх,,,,наречие,,,,,"напрасно, зря",,,,,,,
кунэӈт-,,,,глагол,непереходный,конэӈткас,,,собирать кедровые шишки,,,,,,,
кунэʔԓ-,,,,глагол,непереходный,конэʔԓкас,,,грызть орехи,,,,,,,
куњԓэл,,,,существительное,,,куњԓэʔл,,1) кедровый орех; 2) орешек кедровый,,,,,,,
куп-,,,,глагол,непереходный,копкас,,,спотыкаться,,,,,,,
купсхэн-,,,,глагол,непереходный,копсхэнкас,,,спотыкаться многократно,,,,,,,
купх,,,,существительное,,,,,"куб (снятая шкура для хранения мяса, жира и т. д.)",,,,,,,
купчх,,,,существительное,,,,,ловушка для тюленя,,,,,,,
купʼча,,,,существительное,,,,,желчь,иљч,,,,,,
куритэʔ,,куритэ,,существительное,,,куритэʔн,,корыто,,,,,,,
куст-,,,,глагол,переходный1,костэс,,,нянчить кого-л.,,,,,,,
куст-,,,,глагол,непереходный,косткас,,,нянчить детей,,,,,,,
кутэ,,,,существительное,,,кутэʔн,,1) кухня; четырёхугольная ловушка запора,,,,,,,
кутэʔин,,,,прилагательное,,,,,кухонный,,,,,,,
кхтэʔан,,,,прилагательное,,,,,робкий,хтэ-,,,,,,
кхтэʔан,,,,существительное,,,,,трус,хтэ-,,,,,,
кӽэӄатэкнэн,,,,существительное,,,,,старый (пожилой) мужчина,ӽэӄатэ-,,,,,,
кчинзʔин,,,,существительное,,,,,злодей,,,,,,,
кчкʼоӈ,,,,существительное,,,,,косточка в ягодице,,,,,,,
кчоњӄ,,,,наречие,,,,,тонко,,,,,,,
кчоњљаӽ,,,,прилагательное,,,,,"тонкий (о пруте, ветке, бревне), худощавый",,,,,,,
кчфʔин,,,,прилагательное,,,,,дождливый,,,,,,,
кчэч,,,,существительное,,,кчэчэʔн,,"лоб (человек, зверь)",,,,,,,
кчʼэссхэнкнэн,,,,прилагательное,,,,,рваный,,,,,,,
кчʼэʔԓʔин,,,,наречие,,,,,вместе,,,,,,,
кылнганк,,,,существительное,,,,,высота,кәлаӈ-,,,,,,
кылнганлях,,,,прилагательное,,,,,высокий,кәлаӈ-,,,,,,
кын,,кнынкынкын,,существительное,,,,,пупок,кӑн-,,,,,,
кынгылла,,,,прилагательное,,,,,высокий,аслаӽ,,,,,,
кәзвум,,,,существительное,,,,,лиственница,,,,,,,
кәзвәс,,"кизвис, кәзвәз",скан,существительное,,,кәзвәзэʔн,,кижуч,,,,,,,
кәзза,,,кза,местоимение,,,,,ты; тебя,книн,˚килвин,˚килвинэтʼԓ,,,,
кәлаӈлаӽ,,,,прилагательное,,,,,высокий,,,,,,,
кәлаӈӄ,,,,наречие,,,,,высоко,,,,,,,
кәлва-,,,,глагол,переходный1,кәлвас,,,"делать зарубки, клеймить",,,,,,,
кәлванŏм,,кәлваном,,существительное,,,кәлваноʔн,,"засечка, метка, зарубка",,,,,,,
кәлват-,,,,глагол,,кәлватэс,,,клеймить всех животных дистрибутивно,,,,,,,
кәлвэт-,,,,глагол,переходный1,,,,запрягать,килвит-,,,,,,
кәлкԓхим,,,,,,,,,,ӄәлԓхим,,,,,,
кәлласнал,,,,существительное,,,-,,заросли боярышника,,,,,,,
кәлх,,кәлхаал,,существительное,,,,,берёза,килх,,,,,,
-,,"кәԓаʔњч, ӄэԓуԓан",,существительное,,,кәљљаʔњч,,1) бисер; 2) бусы,,,,,,,
˚кәԓф,,кӑљф,кәԓф,существительное,,,˚кәԓфэʔн,,озеро,,,,,,,
˚кәԓфчаӽ,,,,существительное,,,˚кәԓфаʔњч,,лужа,,,,,,,
кәԓчʼлэч,,,,,,,,,,кԓчлэч,,,,,,
кәман,,,,местоимение,,,,,мой,кәмман,,,,,,
кәмкʼч,,,,существительное,,,кәмкʼчэʔн,,подбородок,,,,,,,
кәмма,,,кма,местоимение,,,,,я; меня,,,,,,,
кәмман,,,кәман,местоимение,,,,,"мой (моя, моё, мои)",,,,,,,
кәмманомт,,,,существительное,,,кәмманомтэʔн,,поясная часть штанов,,,,,,,
кәммантзо-,,,,глагол,переходный1,кәммантзокас,,,,кʼозэсхнокэс,,,,,,
кәммат-,,,,глагол,переходный1,кәмматэс,,,щипать,,,,,,,
кәммат-,,,,глагол,непереходный,кәмматкас,,,щипаться,,,,,,,
кәмматзо-,,,,глагол,переходный1,кәмматзос,,,,кʼозэсхэнэс,,,,,,
кәмӈа,,,,глагол,непереходный,кәмӈакас,,,"испытывать симпатию к кому-л., соблазнять",кәмӈэкиԓӽ,кәмӈэс,әнкәмӈа-,,,,
кәмӈэс,,,,существительное,,,кәмӈэзэʔн,,"искушение, соблазн",,,,,,,
кәмӈэ-,,,,глагол,непереходный,кәмӈэкас,,,"наряжаться, одеваться по-праздничному",,,,,,,
кәмтʼӄол,,,,существительное,,,,,голова,ктхиӈ,,,,,,
кән-,,,,наречие,,,,,"посреди, в середину, из середины, средний",кӑн-,,,,,,
кәнк,,,,существительное,,,кәнкәʔн,,ночь,,,,,,,
кәнклэʔин,,,,существительное,,,,,апостол,әнклы-,?????????,,,,,
кәнӄэʔин,,,,прилагательное,,,,,открытый,,,,,,,
кәнрэвавэʔан,,,,прилагательное,,,,,обрадованный,,,,,,,
кәнтоӄатʔан тӽәлтӽәл,,,,,,,,,,тӽалтӽал,,,,,,
кәнфс,,,,существительное,,,кәнфсэʔн,,глухарь,,,,,,,
кәнӽзэвэпэʔин,,,,прилагательное,,,,,презренный,,,,,,,
кәњч,,,,существительное,,,кәњчэʔн,,падушка,,,,,,,
кәњчпаԓ,,,,наречие,,,,,"вечно, навсегда",,,,,,,
кәњчпаԓән,,,,прилагательное,,,,,вечный,,,,,,,
кәпкәп,,,,существительное,,,кпәʔн,,зуб,,,,,,,
кәрвљат-,,,кривљат,глагол,непереходный,кәрвљаткэс,,,"говорить, разговаривать",,,,,,,
кәтвол,,кэтвол,,существительное,,,,,"лёд, льдина",,,,,,,
кәʔмхаԓ,,,,союз,,,,," 1) однако, впрочем, но; 2) поневоле, нечаянно",,,,,,,
кәʔӈԓ-,,,,глагол,переходный1,кәʔӈԓэс,,,"думать, беспокоиться о ком-л.",,,,,,,
кэвэв,,,,существительное,,,кэвэʔн,,двухлетний лахтак,,,,,,,
кэентэл,,,,существительное,,,,,медвежья шкура,,,,,,,
кэйук,,,,существительное,,,кэйукэʔн,,"нарост, наплыв на дереве, чага",,,,,,,
˚кэйух,,ӄэйух,,существительное,,,˚кэйухэʔн,,каюр,,,,,,,
кэл-,,,,глагол,непереходный,кэлкас,,,кричать,кэлсхэн-,лукэл-,әнкэл-,,,,
кэлвук,,,,числительное,,,,,шесть,,,,,,,
кэлвэткас,,,,глагол,непереходный,кэлвэткас,,,запрягать,,,,,,,
кэлкэл,,,,существительное,,,-,,1) крик: 2) глас (вопиющего),,,,,,,
кэлы,,,,прилагательное,,,,,пёстрый,,,,,,,
кэлы-,,,,глагол,переходный1,кэлэс,,,"писать, написать",кэлыʔԓ-,,,,,,
кэлылан,,,,существительное,,,кэлылаʔн,,"пёстрая нерпа, пятнистая нерпа",,,,,,,
кэлыт- ,,,,глагол,непереходный,кэлэткас,,,"кричать долго, многократно",,,,,,,
кэлыʔԓ-,,,,глагол,непереходный,кэлэʔԓкас,,,"писать, написать",,,,,,,
кэлькан,,,,существительное,,,,,"медведь, самец",,,,,,,
кэлэкэл,,,,существительное,,,,,"рисунок, письмо",,,,,,,
кэлэном,,,,существительное,,,кэлэноʔн,,1) письмо; 2) письменность (редко),,,,,,,
кэлэʔԓкнэн,,,,прилагательное,,,,,письменный,,,,,,,
кэљхэн,,,,существительное,,,кэљхэʔн,,"мыс, коса",,,,,,,
кэԓаʔњч,,,,,,,,,,кәљљаʔњч,,,,,,
кэԓчʼуӈ,,,,существительное,,,,кэԓчʼал,грязь ,,,,,,,
кэԓчʼалты-,,,,глагол,непереходный,кэԓчʼалтэкас,,,"загрязняться, покрываться грязью",,,,,,,
кэнаупх,,,,,,,,,,˚ӄэнэпх,,,,,,
кэӈрэт-,,,,глагол,непереходный,кэӈрэткас,,,подгорать,,,,,,,
кэӈч,,,,существительное,,,кэӈэʔн,,"веха, палка (в том числе лыжная)",,,,,,,
кэринэ-,,,,глагол,переходный1,кэринэс,,,ушибить кого-л. (ненамеренно),,,,,,,
кэринэ-,,,,глагол,непереходный,кэринэкас,,,ушибиться ,кэринсхэн-,,,,,,
кэринсхэн-,,,,глагол,переходный1,кэринсхэнэс,,,ушибить кого-либо многократно,кэринсхэн-,,,,,,
кэринэт-,,,,глагол,непереходный,кэринэткас,,,ушибаться многократно,,,,,,,
кэрэном,,,,существительное,,,кэрэноʔн,,"ушиб, синяк",,,,,,,
кэстанкэ,,,,существительное,,,,,домовой,,,,,,,
кэтвол,,кәтвол,,существительное,,,кэтвоʔл,,"лёд, льдина",кәтволтэ-,,,,,,
кэтволʔан,,,,прилагательное,,,,,ледяной,,,,,,,
кэтвоԓчаӽ,,,,существительное,,,кэтвоʔԓч,,1) льдина; 2) сосулька,,,,,,,
кэтх,,,,,,,,,,ӄэчʼэԓ,,,,,,
кэтхэлыӈ,,,,,,,,,,ӄэтхәләӈ,,,,,,
кэтʼил,,,,существительное,,,кэтʼиʔл,,мелкий полосатый голец,,,,,,,
"кэчиль, кэчиԓ, кэчэԓ",,,,,,,,,,ӄэчʼэԓ,,,,,,
кэʔнс-,,,,глагол,непереходный,кэʔнскас,,,писать,,,,,,,
кэʔњԓ-,,,,глагол,непереходный,кэʔњԓкас,,,писать,,,,,,,
кэʔњԓэтном,,,,существительное,,,,,перепись,,,,,,,
кʼаач,,,,существительное,,,,,1) спина; 2) тыльная сторона рукавицы,,,,,,,
кʼавазэʔан,,,,прилагательное,,,,,ласковый,,,,,,,
кʼавапкʼол,,кʼавапк,,существительное,,,кʼавапкʼоʔл,,позвонок,,,,,,,
кʼавач,,,кʼаач,существительное,,,кʼаваʔн,,"1) позвоночник, спина; 2) рыбий хребет",,,,,,,
кʼавʔуч,,,,существительное,,,,,"брус, лежащий на стропилах ",,,,,,,
кʼазвизвач,,,,существительное,,,кʼазвизваʔн,,пленка медвежих кишок идущая на окна,,,,,,,
кʼаймәԓ-,,,,глагол,непереходный,кʼаймәԓкас,,,испачкаться при еде,,,,,,,
кʼаймәнзаӄ,,,,существительное,,,кʼаймәнзаӄаʔн,,тундровая чайка,,,,,,,
кʼалваʔан,,,,прилагательное,,,,,"славный (известный), благославленный",,,,,,,
кʼалэк,,,,наречие,,,,,"рядом, недалеко",,,,,,,
кʼансэʔԓʔан,,,,существительное,,,,,"ученый, книжник",,,,,,,
кʼанхтʼԓӈаʔԓʔан,,,,прилагательное,,,,,суровый,,,,,,,
кʼанхчоʔԓʔан,,,,существительное,,,кʼанхчоʔԓʔаʔн,,сторож,,,,,,,
кʼањч,,,,существительное,,,,,носок у меховых чулок,,,,,,,
кʼаӈанса,,,,прилагательное,,,,,мало дающий (скупой или бедный),,,,,,,
кʼаӈйаʔан,,,,существительное,,,кʼаӈйаʔаʔн,,хвастун,,,,,,,
кʼахса-,,,,глагол,непереходный,кʼахсакас,,,сохнуть,,,,,,,
кʼвакʼ-,,,,глагол,переходный1,кʼвакʼэс,,,гореть,,,,,,,
кʼвакʼвум,,,,существительное,,,кʼвакʼвэʔн,,"горелое место, ожог, загар",,,,,,,
кʼвасӽӄ,,,,существительное,,,кʼвасӽӄаʔн,,обожжённая корка,каӄвасхчах,аӄвасхчэх,,,,,
кʼзи-,,,,глагол,переходный2,кʼзэкас,,,"хватать кого-либо (сзади за шею, за шиворот)",,,,,,,
кʼзихч,,,кʼэкʼйоԓхән,существительное,,,кʼзихчэʔн,,загривок,,,,,,,
кʼизвизвэч,,кʼизвизвач,,существительное,,,кʼизвизвэʔн,,"мель, перекат",,,,,,,
кʼизвилаӽ,,,"кʼәзәлаӽ, кʼәзвэлаӽ",прилагательное,,,,,1) сухой; 2) мелкий (о реке),,,,,,,
кʼикʼ,,,,существительное,,,кʼикʼэʔн,,1) горло; 2) горловой вырез одежды,,,,,,,
кʼикʼәлвич,,,,существительное,,,кʼикʼәлвиʔн,,гортань,,,,,,,
кʼилазо-,,,,глагол,непереходный,кʼэлазокас,,,"кружиться, ходить вокруг многократно, ворочаться",әнкʼилазо-,,,,,,
кʼилфсʔин,,,,прилагательное,,,,,"послушный, смиренный",,,,,,,
кʼилы-,,кʼилэ-,,глагол,непереходный,кʼэлэкас,,,"вертеться, кружиться",,,,,,,
кʼилэӽэзум,,,,существительное,,,кʼилэӽэзуʔн,,специальное приспособление для привязвания собак (вертящийся клоп буквально)		,,,,,,,
кʼиԓчʼин,,,,прилагательное,,,,,молчаливый,,,,,,,
кʼимамтэнŏӈ,,,,существительное,,,кʼимамтэнэʔн,,"лента, заплетённая в косу",,,,,,,
кʼимкч,,,,существительное,,,кʼимкчэʔн,,подбородок,,,,,,,
кʼимкʼим,,,,существительное,,,кʼимиʔн,,волос человеческий,,,,,,,
кʼиммат-,,,,глагол,переходный2,кʼэмматкас,,,держать кого-л. за волосы,кʼэмматзо-,,,,,,
кʼинкʼин,,,,существительное,,,кʼиʔн,,рыбье брюшко,,,,,,,
кʼинпʼԓ,,,,существительное,,,,,утка-шилохвость,,,,,,,
кʼинтхилʔин,,,,прилагательное,,,,,колючий,,,,,,,
кʼинчилкнэн,,,,прилагательное,,,,,избранный,,????????????,,,,,
кʼињњачӽ,,,,существительное,,,кʼињњаʔњч,,рыбий пупочек,,,,,,,
кʼиӈухт,,,,существительное,,,,,земляника,,,,,,,
кʼирич,,,,наречие,,,,,искоса,,,,,,,
кʼискнэн,,,,прилагательное,,,,,спелый,,,,,,,
кʼисхкнэн,,,,прилагательное,,,,,мёртвый,,,,,,,
кʼисхӄ,,,,наречие,,,,,сухо,,,,,,,
кʼисхԓ-,,,,глагол,непереходный,,,,"1) сохнуть, вянуть; 2) мелеть (о реке)",кʼисхԓэт-,,,,,,
кʼисхԓэт-,,,,глагол,непереходный,кʼэсхԓэткас,,,"высыхать, пересыхать многократно",,,,,,,
кʼисхԓны-,,,,глагол,непереходный,кʼэсхԓнэкас,,,"сильно высыхать, мелеть",,,,,,,
кʼӄлыкнэн,,ӄлыӄэн,,существительное,,,кʼӄлыкнэʔн,,самец рыбы,,,,,,,
кʼлутʼԓхэʔин,,кʼлутʼԓӽэʔин,,существительное,,,кʼԓутʼлхэʔиʔн,,"драчун, воин",,,,,,,
кʼлутʼԓӽэвал,,,,существительное,,,-,,армия,,,,,,,
кʼлысхин-,,,,глагол,непереходный,кʼлысхинкас,,,запутываться,,,,,,,
кʼнынтх,,кʼнәнтх,,местоимение,,,,,кто,,,,,,,
