Ительменское слово,Русское слово
č'iŋstel- неп,злиться
č'iŋzəp сущ,злоба
č'iŋzlaχ прил,злобный
əmč'əmč' сущ,зловоние
kčinzʔin сущ,злодей
qeqč'ulaχ прил,злой
χeqelaχ прил,злой
č'iŋzlaχ прил,злой
ečk'elaχ прил,злой
bukiska сущ,злой дух
kilwul сущ,злой дух
qaqaril сущ,злой дух
seʔlup сущ,злой дух
unal сущ,злой дух
χaqanwarwan сущ,злость
č'iŋzəp сущ,злость
ksxlenom сущ,знак
znakomeʔɬ- неп,знакомиться
ksxlenom сущ,знамение
alwasχq сущ,знать
xiq iɬ- п1,знать
iɬ- п1,ӽаӄ
činzusx сущ,зола
ič'eč'wum сущ,золотой корень
əɬčkunom сущ,зрение
kunemx нареч,зря
č'exč'eɬ нареч,зря
kəpkəp сущ,зуб
pk'in прил,зубной
kaɬalxpe- неп,зубы потерять
kixpleʔɬ- неп,зубы потерять
č'oxč'ox сущ,зуд
samses сущ,зять
ek союз,и
kitxɬ сущ,ива
kitxɬal сущ,ивы заросли
sis сущ,игла
oxp сущ,игла деревянная
exp сущ,игла для вязания сетей
sč'aneŋ сущ,для вязания сетки
sč'aneŋ сущ,игольное ушко
maʔɬes сущ,игра
maʔɬ- неп,играть
χeʔlučiʔɬ- неп,играть в куклы
qaplu- неп,играть в мяч
sŋačiʔɬ- неп,играть в прятки
suqečiʔɬ- неп,играть в пятнашки
kowozel- неп,играть на дудочке
maʔjanŏŋ сущ,игрушка
tənk'el сущ,игрушка
ʷk'enezes сущ,идея
itung сущ,идол
яidač' сущ,идол
iɬ- неп,идти
k'oɬ- неп,идти
piki- неп с. ,идти
paŋo- неп,идти (о снеге)
tχa- неп,идти (о снеге)
insuči- неп,идти (о шуге по реке)
insi- неп,идти (шуга по реке)
č'exele- неп,идти на все ради чего-то
leŋazo- неп,идти на лыжах
rosxata- неп,идти на нерест
tχala- неп,идти немного
čf- неп,идти о дожде
ɬejwo- неп,идти пешком
senxʔal нареч,из леса
seɲčxʔal нареч,из лесочка
kӑnnenxʔal нареч,из середины
čəsxʔal нареч,"из, из-под, изнутри"
ənksinom сущ,избавление
ənksi- п1,избавлять
txɬzo- п1,избивать
txɬet- п1,избивать
talawala- п1,избить
tmalxʔal нареч,изблизи
k'inčilknen инф,избранный
ampelanom сущ,известие
alwa- неп,известностью пользоваться
izwestnoj прил,известный
k'alwaʔan прил,известный
sqəsxen- неп,извиваться
loʔləm сущ,извилина
loʔləm сущ,изгиб
naɬnoŋ сущ,изгиб
loʔləm сущ,изгиб реки
sqens- неп,изгибаться
ənkawral- п1,изгибаться
bogačχ сущ,икона
ŋilŋil сущ,икра
ŋəlʔŋəl сущ с. ,икра
ŋilŋilsxaχ сущ,икринка
ŋilŋil сущ,икроножная мышца
qaʔaq сущ,икрянка
əlk'unəŋ сущ,ил
inkneɬ союз,или
txeʔanke мест,им
χuret межд,имей в виду
kɬul- п1,именно жалеть об утрате
ŋapsk'elti- неп,иметь нос полный козявок
či- неп,иметься
neksamin прил,изгибаться многократно туда-
naɬsxen- неп,сюда
snəŋ сущ,изголовье
sk- п1,изготавливать
meč'axʔal нареч,издалека
t'aɬxʔal нареч,издалека
d'ekowa- п1,издеваться
iɬ- п1,хиԓивайу
anekst'ač сущ,изжога
anekst'aʔɬ- неп,изжогой страдать
amamkalaχ прил,излишний
ɬwaɬte- неп,изменить
Аfčaχ собств,Изменная сопка
ɬwaɬu сущ,изменник
č'sxən- неп,изнашиваться
č'sxənet- неп,изнашиваться
atɬxo- неп,износиться
infɬeʔne- неп,"износиться (вещи, обувь)"
χəlqep- неп,изнутри запираться
əɲčik'irwi- п1,изобретать
tnŭmxʔal нареч,из-под
inxseʔnk нареч,изредка
əmpχesxen- п1,изрезать
χelaŋ сущ,имя
χelaʔɬ- п1,имя давать
ɬwaɬk'eɬ нареч,иначе
ɬwaɬ нареч,иначе
tsatsəm сущ,иней
inxseʔnk нареч,иногда
it'ensčaq нареч,иногда
ɬwaɬʔan прил,иной
inxseʔnk нареч,иной раз
əlʔiɬ- п1,инструктировать
interesnoj прил,интересный
natkawa- п1,искалечить кого-либо
innatkawa- неп,искалечиться
anxtzoʔɬ- неп,искать
inxt- неп,искать
inxt- п1,искать
nik'i- неп,искать
nik'i- п1,искать
sek'sŋe- неп,искать
iɲɬ- п1,искать вшей
tolk'aʔ- неп,искать кимчигу
entχzu- п1,искать что-либо
eɲčχzo- п1 с. ,искать что-либо
inxtzu- п1,"искать что-либо долго, усиленно"
amesat- п1,искать что-либо среди вещей
prostoj нареч,исключительно
k'irič нареч,искоса
xraŋ нареч,искоса
eč'emiŋ сущ,искра
eč'emečχ сущ,искра
sqensxen- п1,искривлять
tqens- п1,искривлять
tqensen- п1,искривлять
tqenset- п1,искривлять
tqens- неп,искривляться
pəlsxen- п2,искусать
ənkəmŋa- п1,искушать
antawoŋaɬnom сущ,искушение
kəmŋes сущ,искушение
k'ajməɬ- неп,испачкаться при еде
iɬ- п1,исповедовать мэл
čaxsaɬ- неп,исповедоваться
čaxsaɬes сущ,исповедь
liɬi le- неп,исполниться
ɬnečk'eŋ- п1,испортить
əntfke- п1,испортить
ɬinmiti- п1,исправлять
xiʔŋiŋlaχ прил,исправный
poqɬ- неп,испражняться
ənziŋ- неп,испражняться
təlfɬnom сущ,испуг
tilxɬ- неп,испугаться
təlxɬ- неп с. ,испугаться
fčetapɬ- неп,испустить дух
tawuŋnom сущ,испытание
ɬentawoŋa- п1,испытывать
tawoŋzo- п1,испытывать
tawuŋ- п1,испытывать
tawuŋet- п1,испытывать
ik'sxuleʔɬ- неп,испытывать жажду
kəmŋa- неп,испытывать симпатию
əɬčkust- п1,исследовать
čkaɬxən сущ,исток реки
χamtala- п1,истолочь
k'ulesxen- неп,исцарапаться
ənmelenom сущ,исцеление
ameɬat- неп,исчезать
itənmən сущ,ительмен
silqsilq сущ,ительменская кухня
xodilaʔn сущ,ительменские песни
itənmənʔin прил,ительменский
itχ мест,их
tχiʔin мест,их
tχiʔin мест,ихний
Сič' собств,Ича
tmalke нареч,к близкому месту
txeʔanke мест,к ним
kazdoj прил,каждый
kin-kim прил,каждый
qemqe ,каждый
fisx межд,кажется
ɬuzwen- неп,казаться
nik'ileʔnəŋ сущ,кайма
akewaʔnəm сущ с. ,кайма у обуви
akewəm сущ,кайма у обуви
last нареч,как
mank нареч с. ,как
manke нареч,как
qaʔtx част,как будто
χamux нареч,как будто
eɬaq союз,как будто
ӑŋqaɬ мест,каким образом
mankenan прил,какой
min мест,какой
menkenan прил с. ,какой
saq прил,какой
kuniɬwin нареч,как-то раз
kwaʔan прил,каменистый
oʔult сущ,каменное корыто
waʔan прил,каменный
fačq сущ,каменный голец
spe сущ,каменный пест
tqniŋ сущ с. ,каменный пест
insxul ameɬatat- сущ,каменный скребок для шкур
ʷwapk'ol сущ,камень
wač сущ,камень
k'ozesxenet- kof п1,исщипать
pəlwač сущ,камень краеугольный
oʔolt сущ,камень крупный
zenzol сущ,камень плоский
luɬnəŋ сущ,снега)
kaseŋʔan сущ,камус
pənzəŋ сущ,камус
teŋse- неп,каяться
əntɬa- п1,квасить
filwilte- неп,квашенная рыба
stowal сущ,кедрач
kunkun сущ,кедровая шишка
kakač сущ,кедровка
яdro сущ,кедрового ореха
fifsuʔn сущ kaɬimtoŋ сущ,кедрового ореха
wačeʔn сущ,кедровые шишки собирать
kaɲikulaʔn сущ,каникулы
est- неп,капать
estala- неп,капать
ŋestk'eɬčχ сущ,капелька
kapkan сущ,капкан
ančxlet- п1,капканы ставить
ŋestk'eɬčχ сущ,капля
inč'ele- неп,капризничать
kapusta сущ,капуста
kzixč сущ,капюшон
kukoniŋ сущ,капюшон кухлянки
karandaʂ сущ,карандаш
anfčoʔɬ- неп,караулить
inju- п1,караулить
injusxen- п1,караулить
inenju- неп,караулить
kartofeʎaʔn сущ,картофель
čxrojk'ačχ сущ,картофель
sŋeza- п1,касаться
kukeč сущ,кастрюля
ɬintxletzo- п1,катать
ənkmese- п1,катать
ŋoɬkat- неп,кататься по льду
tχlitzu- неп,кататься с горы
ənkmese- п1,катить
kmesi- неп,катиться
sali- неп,катиться
iɬχlaχ прил,каткий
ŋoɬkeŋ сущ,каток
ənqelew- п1,качать
ənqelewet- п1,качать
qele- неп,качаться
asat сущ,кашель
askɬ- неп,кашлять
ʷkejux kuneŋt- сущ,каюр
kuɲɬel сущ,кедровый орех
kuɲɬel сущ,кедровый орешек
ʷstopk'ul сущ,кедровый стланик
stotəm сущ,кедровый стланик
qek'f сущ,кета
ʷpneŋat- неп,кивать
č'sxən- неп,кивать
č'sxənet- неп,кивать
tkit- п1,кидать
kəzwəs сущ,кижуч
skan сущ с. ,кижуч
kilikil сущ,килыкил
ɬilum сущ,килыкил
liʔlum сущ,килыкил смесь
lqlam сущ,кимчига
nexirk'at- неп,кимчига
rəmŋen сущ,кимчига
toɬ- неп,кимчига
əlqlam сущ,кимчига
tolk'aʔ- неп,кимчигу искать
qejwe- неп,кипеть
qejwezo- неп,кипеть долго или интенсивно
ninəm сущ,кипрей
niŋt- неп,кипрей собирать
alxpaʔɬ- неп,кипрей собирать в посуду
kumɬxil сущ,кипрейное лыко
ninal сущ,кипрея заросли
alxp сущ,кипрея стебель приготовленный
ənqejwe- п1,кипятить
filwil сущ,кислая рыба
kɬčleč сущ,кислая рыбья головка
filwil сущ,кислое мясо
kɬčlaχ прил,кислый
kʎčlate- неп,кислым отдавать
t'ɬa- неп,киснуть
juŋjučχ сущ,кит
juŋəju сущ,кит
ziwəs сущ с. ,кишка
siwəs сущ,кишка
sjajolŋən сущ,кишка
k'azwizwač сущ,кишки
ʷpneŋa- неп,кланяться
t'ɬ- неп,кланяться
eʔnweɬ сущ,клапан-нагрудник кухлянки
klass сущ,класс
zuwe- неп,класть
zuwe- п1,класть
əzzu- п1,класть
əzzut- п1,класть
əzu- п1 с. ,класть
əzus- п1 с. ,класть
əzzu- неп,класть для себя
paŋza- п2,класть за пазуху
paŋzat- п2,класть за пазуху
toktonaʔɬ- неп,клевать
toktoŋo- п1,клевать
toktoŋoʔɬ- неп,клевать(ся)
netməɲɬ- п1,клеить
kəlwa- п1,клеймить
əɬtq- п1,клеймить
ijanočχ сущ,княженика
tala- п1,ковать
Кawral собств,Ковран
kowčeg сущ,ковчег
anӑs сущ,ковш
txela- неп,ковыряться
it'e союз,когда
it'e союз,когда-то
k'e мест,кого
k'ek'wečχ сущ,коготок
k'ufk'uf сущ,коготь
k'ek'f сущ,коготь
amsaneq нареч,кое-как
falasxa нареч,кое-как
kilwiɬχ сущ,кожа (человека)
xinsx сущ,кожа рыбья
ənsx сущ с. ,кожа рыбья
čopak'e сущ,кожаные штаны
inmeŋ сущ,корзины
əmk'əsx сущ,кожное заболевание
kond'er сущ,козырек женского капора
ŋapsk'eʔl сущ,козявки в носу
newlaz сущ,кол
upuw сущ с. ,кол
kəlwat- upew п1,дистрибутивно
eʎtqa- п1,клеймить собаку
t'iɬit'iɬ сущ,клин женского капора
č'um сущ,меховых чулок
χelaŋ сущ,кличка
č'essxen- неп,клочья рвать
klub сущ,клуб
kowos- неп,клубком свернуться
non сущ,клюв
kʎukwa сущ,клюква
č'ik'məŋ сущ,клюква
niqeʔnəŋ сущ,ключ
Кʎučik собств,ключик
mumkel сущ,потягу
kɲiga сущ,книга
k'nəč сущ,кол (передний) запора
wetčineʔ сущ,колбаса кровяная
zizeŋ сущ с. ,колено
sezeŋ сущ,колено
k'elanŏm сущ,колесо
d'iŋʎiŋʎačχ сущ,колокольчик коровий
d'iŋɬiŋɬ- неп,колокольчиками звенеть
kowa- п1,колотить
qesq сущ,кольев
til- п1,колоть
tilsxen- п1,колоть
ənt'sxin- п1,колоть
ankalwas сущ,колотье
intxəleʔɬ- неп,колоться
qerweʎu сущ,колыбальная песня
zipkeʔ сущ,колыбель
atərwate- неп,колыхаться
χele- неп,колыхаться
toŋoɬ сущ,рыболовного запора
ʷkmesem сущ,кольцо
raqlawəm сущ,корюшки
k'intxilʔin прил,колючий
sistxil сущ,колючими плавниками
intxil сущ,колючка
qeɬč'um сущ,комар
kalŋakerčaχ сущ с. ,комбинезон
iwu- п1,копить
satut- неп,копкой долго заниматься
iperwe- неп,копотью покрыться
txela- неп,копошиться
ʷt'i- п1,коптить
ʷənt'i- п1,коптить
msoŋ сущ,копылье нарты
jajpeʔn сущ,копыта
qajtkel сущ,копье
pojtəl сущ,копье
ilal сущ,кора
k'uxk' сущ,кора березы съедобная
ilal сущ,кора ольховая
pŋilpŋil сущ,корень
seɲɬ сущ,корень
ŋawkeračχ сущ əsk сущ,корень
xonpeŋ сущ,комбинезон женский
tnakol сущ,комель бревна
χaqa сущ,комната
piɲɬfnom сущ,конец
liɬi нареч,конечно
ee межд,конечно
utika- неп,конопатить
utika- п1,конопатить
nirwin сущ,конский щавель
iered сущ,корень водяного растения
χequm сущ,корень медвежий
čqawom сущ,корень медвежий
skwom сущ,корень медовый
χuʔŋunuŋ сущ,корень съедобный
inemseʔnəŋ сущ,корзина
pekkečx сущ mumx сущ,корзина
kontrol'noj прил,контрольный
attara сущ,конура
piɲɬf- п1,кончать
piɲɬf- неп,кончать(ся)
piŋɬfat- неп,кончать(ся)
ɬf- неп,кончаться
ɬfeʔne- неп,кончаться
piɲɬfaʔɬ- неп,кончаться
piŋɬfet- неп,кончаться
koɲa сущ,конь
qŏsqŏs сущ,копалка для сараны
reŋo- п1,копать
reŋoʔɬ- неп,копать
satu- неп,копать
satu- п1,копать
satut- неп,копать
satut- п1,копать
reŋo- п1,копать руками
reŋoʔɬ- неп,копать руками
iɲč'- неп,копать сарану
tewu- неп,копаться долго
ŋipsxen- неп,копаться долго за едой
kopejkaʔ сущ,копейка
ač'al сущ,корзина берестяная
č'ipsqel сущ,корзина плетеная травяная
č'ipsqel сущ,корзинка
inmeŋ сущ,корзины ободок
k'wasχq сущ,корка обожженная
nonom сущ,корм
ɬinnu- п1,кормить
ilʔel- п1,кормить ребенка жвачкой
ʷqepx сущ,кормушка нукнэн
qlitx сущ,корнеплод
omeq сущ,корнеплод
koɬton сущ,коробка
χamɬχjoɬxen сущ,коробка
korowaʔ сущ,корова
d'iŋʎiŋʎačχ сущ,коровий колокольчик
ikəmt'ezeŋ сущ,короткая щека запора
ikumpʎikeʔn сущ,короткие торбаза
ikəmʎaχ прил,короткий
ikəmq нареч,коротко
ikəmčxen сущ,короткохвостая мышь
ikəmse- неп,короче становиться
k'ulu- п1,кору снимать
ulu- п1,кору снимать
uluʔɬ- неп,кору снимать
satut- неп,корчевать
aŋqan it- неп,корчиться
pxakč сущ,коршун
kuriteʔ сущ,корыто
ʷqepx сущ,корыто
χəmɬχjoɬxən сущ,корыто для жира
oʔult сущ,корыто каменное
seɬɲit͡s сущ,корыто с выступами
qawač сущ,корюшка
ənŋaqečχ сущ,корюшка малая
korak сущ,коряк
tafʎo сущ,коряк
Кɬxitilan сущ,коряк оседлый
kosam сущ,коса (волосы)
tk'lom сущ,коса (волосы)
t'k'lom сущ,коса (волосы)
keʎxen сущ,коса (мыс)
kosaʔ сущ,орудие)
tosx сущ,коса речная
koseʔɬ- неп,косить
koseʔɬ- неп,косить траву
kosmonawt сущ,космонавт
kosmos сущ,космос
ujiritnom сущ,кострище
ʷktχӑm сущ,кость
kčk'oŋ сущ,кость
qtχam сущ,кость
tχam сущ,кость
χamtala сущ,кость дробленая
xuxula- п1,костяшками бить
kolodaʔ сущ,косяк дверной рамы
kukeč сущ,котёл
teɬnaʔ сущ,котлета
teɬnoj сущ,котлета из рыбы
min мест,который
tatʎač сущ,коты морские
jalat- неп,кочевать
jalwet- неп,кочевать
jalwetat- неп,кочевать
jalwatnom сущ,кочевки место
jalwetatnom сущ,кочевье
kʎuka сущ,кочерга
simq' сущ,кочка
ʷsəmk' сущ,кочка
č'ipsqel сущ,кошелка
koʂka сущ,кошка
qewinəŋ сущ,краб
pəlwač сущ,краеугольный камень
iʔɲɬəm сущ,край воды
qazwum сущ,крапива
qazwal сущ,крапивы заросли
č'inaq нареч с. ,красиво
č'inəŋ- А,красиво
č'inəŋq нареч,красиво
xixliŋlaχ прил,красивый
činiŋlaχ прил,красивый
č'inəŋlaχ прил,красивый
anzazo- п1,красить
krase- п1,красить
kskizla- п1,красить что-либо ольхой
anzas сущ,краска
anzaʔnoŋ сущ,краска
tqinsreŋ сущ kraskaʔ сущ,краска
ujirit сущ,костер
ximɬx сущ,костер
qomloqom сущ,костный мозг
qomla- неп,костный мозг есть
kčk'oŋ сущ,косточка в ягодице
ksus сущ,красная рыба
mrorotem сущ,красная смородина
č'ač'a- неп,краснеть
esx сущ,красноватая сыпь
əɲč'ač'ala- п1,красное
krasnoj прил,красный
č'ač'a- А,красный
сущ č'ač'alaχ прил,красный
činəŋčinəŋ сущ,красота
č'inəŋč'inəŋ сущ,красота
činəŋʔe- неп,красотой любоваться
č'iri- неп,красть
č'iri- п1,красть
ktwelaχ прил,крашеный
sqens- неп,крениться
ičxlaχ прил,крепкий
ktlaχ прил,крепкий
ktaq нареч,крепко
ʷŋiksini- неп,крепко спать
tχzoʔŋe- неп,крепко стоять
kreste- п1,крестить
kresteʔɬ- неп,креститься
krestnoj сущ,крестный
sqensxen- п1,кривить
tqens- п1,кривить
əntqensxen- п1,кривить
sqens- неп,кривиться
tqens- неп,кривиться
kelkel сущ,крик
kel- неп,кричать
tajŋa- неп,кричать
čxča- неп,кричать
eŋalelet- неп,кричать
kelsxen- неп,кричать многократно
kelit- неп,кричать многократно
qorkɬ- неп,кричать по-оленьи
aɲts сущ,кровать
tjotjəm сущ,кровеносный сосуд
əɲɬim- неп,кровоточить
mɬim сущ,кровь
neseŋ- п1,кровь проливать
wetčineʔ сущ,кровяная колбаса
ɬel- п1,кроить
tuwaq сущ,кроншнеп
tuwaq сущ,кроншнеп
atsk'aj сущ,крохаль
t'əlt'əl сущ,крохаль
ənkwe- п1,крошить
kwe- неп,крошиться
tχitχesxq сущ,крошка от юколы
kwesxqeʔn сущ,крошки пищи
čimsxqaʔn сущ,крошки рыбы
ʷkmesem сущ,круг
sonzalx сущ,круг для дробления костей
krugloj прил,круглый
ənk'ilazo- п1,кружить
ənk'elala- п1,кружить
ənk'ele- п1,кружить
ənk'elet- п1,кружить
k'ili- неп,кружиться
kruskeʔ сущ,кружка
qamaŋa сущ,крупная посуда
ʷplaχ прил,крупный
oʔolt сущ,крупный камень
ənk'elet- п1,крутить
eʔle сущ,крутой склон
seseŋ сущ,крыло
telxp сущ,крыло
time- неп,крыть крышу
time- п1,крыть крышу
krowʎaʔ сущ,крыша
taməs сущ,крыша
time- неп,крышу крыть
time- п1,крышу крыть
qaʔnantaʔnŏŋ сущ,крючок деревянный
bawračχ сущ,либо из бочки
č'əmkečχ сущ,крючок-вешалка для сети
qanχs сущ,кряква
xet'əwal сущ,кряква
qanɬ- неп,кряхтеть
k'nintx мест,кто
k'nəntx мест,кто
k'e мест,кто
k'eečχ мест,кто-то
kupx сущ,куб чулком снятая шкура
pəlk'azat- неп,кувыркаться
manke нареч,куда
menalanke нареч,куда попало
ksəŋraʔan прил,кудрявый
səŋraqel сущ,кудрявый человек
ktalaʔan сущ,кузнец
iisluʔɬneŋ сущ,кузнечный мех
oromx сущ,кузов
χeʔluč сущ,кукла
ksxča- неп,кукуль
ksxčaʔneŋ сущ,кукуль
qequq сущ,кукушка
ʷtəɬq сущ,кулак
tuwaq сущ,кулик
tuwaq сущ,кулик
t'ot'ot' сущ,русско-ительменский индекс
urilwič сущ,русско-ительменский индекс
čiriričx сущ,русско-ительменский индекс
kul'turnoj прил,культурный
kunze сущ,кунжа
eɲɬata- неп,купить
nineʔ сущ,курильский ветер
kansa сущ,курительная трубка
kansa- неп,курить
rewne сущ,куропатка
ampəl- неп,кусать
pəl- п2,кусать
pəlsxen- п2,кусать
pələt- п2,кусать
ampəl- неп,кусаться
ampəlsxenaʔɬ- неп,кусаться
mənsəŋ сущ,куски от пласта рыбы
ansχ сущ,кусок
kaɬčfsəm сущ,кусок льда
wojdanəŋ сущ,кусок меховой шкурки
nepuneč сущ,шейной части летнего капора
aɲačχ сущ,кусочек
ʷfizwum сущ,куст
ləltanom сущ,куст жимолости
stotəm сущ,куст кедрового стланика
č'eč'em сущ,куст тальника
ʷfizwal сущ,кустарник
č'es- неп,кутаться
č'essxen- неп,кутаться
Кutxaj собств,Кутх
Лukaɬč собств,Кутх
Кutx собств,ительменских сказок)
jerwač сущ,кухлянка
qowsqel сущ с. ,кухлянка
eʎwəmək сущ,кухлянка
kawaʎo сущ,кухлянка теплая
qofč сущ,кухлянка-парка
kukoniŋ сущ,кухлянки капюшон
kute сущ,кухня
kuteʔin прил,кухонный
nowaɬes сущ,кушанье
filk'intora сущ,кушанье из морошки с рыбой
kilikil сущ,кушанья вид
tχӑl- п1,кушать
čwanom сущ,лагерь
teŋq нареч,ладно
manzəŋ сущ,ладонь
qəmt'k'a- неп,ладоши хлопать
laduskaʔɬ- неп,ладоши хлопать
č'enom сущ,лаз
č'eɬelat- неп,лакомиться
piŋč сущ,лампа
awazeʔɬ- неп,ласкать
iɬ- п1,вәнкэ
awaze- неп,ласкаться
k'awazeʔan прил,ласковый
t'k'oxč сущ,ласт нерпы
čukčuk сущ,ласт нерпы
atk'aʎačχ сущ,ласточка
ɬinmiti- п1,латать
atɬemk'at- п1,латать обувь
laxtak сущ,лахтак
moja сущ,лахтак в один год
kewew сущ,лахтак двухлетний
toremel сущ,лахтак старше пяти-шести лет
qleqaməŋ сущ,лахтак старый большой
xekewex сущ,лахтак трехлетний
t'mk'ek' сущ,лахтак четырех лет
ač'e- неп,лаять
awla- неп,лаять (о собаке)
maja- неп,лгать
mesxu сущ,лебедь
iered сущ,лебяжье коренье
l'ewoj прил,левый
sič'eŋan прил,левый
amŋel сущ,легенда
əmsxulaχ прил,легкий
əmsxuq нареч,легко
rseres сущ,легкое
kaɬčfsəm сущ,лед
ktwolčaχ сущ,лед
ketwol сущ,лед
ŋoɬkeŋ сущ,ледяная полянка
kaɬčfsəm сущ,ледяное поле
ketwolʔan прил,ледяной
aɲts сущ,лежанка
ʷsŏl- неп,лежать
sollo- неп,лежать
pla- неп,лежать вольно широко
sollozo- неп,лежать долго
baran сущ,тальная дуга)
solnom сущ,лежбище
pekul сущ,лезвие ножа
ʎekarstwaʔ сущ,лекарство
kɬčilaχ прил,ленивый
lukawoj прил,ленивый
ilk'est- неп,лениться
kɬčila- неп,лениться
kɬčel- неп,лениться
k'imamtenŏŋ сущ,лента в косе
kɬčilaχ сущ,лентяй
ačəɲčx сущ,лес
sin- А,лес
lilum сущ,лес тальниковый
uxt сущ,лес-березник
sinʔin прил,лесной
uxt'in ,лесной
amanəm сущ,лестница
kič сущ,лестница
kɬalaʔn сущ,лет
siŋ- неп,летать
siŋzu- неп,летать
siŋet- неп,летать
seŋzo- неп,летать
laʔmstnom сущ,летнее жильё
lamɬnom сущ,летнее стойбище
čkatɬeʔn сущ,летние торбаза
lamɬʔan прил,летний
lamɬnom сущ,летник
laʔmstnom сущ,летник
ɬxanostnom сущ,летник
alačikaʔn сущ,летняя обувь
ikəmplikeʔn сущ,летняя промысловая обувь
lamɬnom сущ,летняя хижина
lamɬ нареч,лето
lamɬ- неп,летовать
laʔmst- неп,летовать
lamɬ нареч,летом
ʎečeʔɬknen прил,лечебный
leči- п1,лечить
lečiʔɬ- неп,лечить
ʎeči- п1,лечить
ənqečeʔɬ- п1,лечить
eʔŋuŋi- неп,лечить
ʎečeʔɬ- неп,лечиться
sollata- неп,лечь
eɬč- неп,лечь
eɬčata- неп,лечь
taɲɬkas сущ,леший
təʔme- п1,лизать
opsanka сущ,лилия
temeq сущ,лилия
linеjka сущ,линейка
atx- неп,линять
ič'e- неп,линять
suwu- неп,линять
tp- неп,линять
ktməlʔan прил,липкий
tməl- неп,липнуть
tsxalastas сущ,лиса
"t'sal, t'salaj сущ",лиса
"t'sal, t'salaj сущ",лисица
pəllapəl сущ,лист дерева
pəllal сущ,листва
kəzwum сущ,лиственница
ins- п1,лить
ins- неп,литься
fewaŋ сущ,лицевая сторона
temjuŋlaχ прил,лицимер(ный)
fewaŋ сущ,лицо
pəlk'aŋ нареч,лицом вверх
pneŋ нареч,лицом вниз
feečχ сущ,личико
əmk'əsx сущ,лишай
ʎisɲoj прил,лишний
kčeč сущ,лоб
inənk- неп,ловить
ənk- п2,ловить
ənkaʔɬ- п2,ловить
čaʔwat- неп,ловить оленей
əzzaʔno- неп,ловить рыбу
əɲčsχmo- неп,ловить рыбу
xilwiŋt- неп,ловить рыбу неводом
xiliwiŋtzo- неп,ловить рыбу неводом
ka- неп,ловиться
nmitqen прил,ловкий
loxko нареч,ловко
tqapes сущ,ловушка
xap сущ,ловушка
kupxč сущ,ловушка для тюленя
qelqelwin сущ,ловушка запора для гольцов
kuʎumke сущ,песца
sʎupka сущ,лодка
bajdar сущ,лодка (охотничья)
txtum сущ,лодка долбленая
tupez- п1,лодку привязывать
tχtupes- неп,лодку привязывать
eɬχt'eŋ- неп,ложиться
eɬč- неп,ложиться
ʷpneŋa- неп,ложиться ничком
loska сущ,ложка
čkpəč сущ,ложка
paju- неп,ложкой зачерпывать
apč'k'əl сущ,ложкообразное весло
nanx сущ,лозина
lot'il сущ,локоть
ŋek'ol- неп,ломать
ənk'ol- п1,ломать
ənk'olsxen- п1,ломать
ənk'olet- п1,ломать
k'ol- неп,ломаться
k'olsxen- неп,ломаться
k'olet- неп,ломаться
učkpen сущ,лопата
paspat сущ,лопатка
pčinti- неп,лопнуть
petečχ сущ,комбинезона
tχitχiŋ сущ,лоскуток юколы
č'uwaj сущ,лососевая рыба
intχzesχ сущ,лососевой икры вязка
moqre прил,лохматый
koɲa сущ,лошадь
ənɬemza- п1,лошадь переводить
izuwezəm сущ,лощина
ulx сущ,луб
iwk' сущ,луб березы
k'uχq сущ,луб березы
ʷkəɬfčaχ сущ,лужа
čk'emt сущ,лужа
usx сущ,лужайка
luk сущ,лук
č'it сущ,лук
luqujŋin сущ,лук дикий
temjuŋlaχ прил,лукавый
jaalŋən сущ с. ,луна
jaʔəlwəčχ сущ,луна
lač kɬfiŋleʔin сущ,луна
mesit͡s сущ,луна
sel- неп,лунатик
lučes нареч,"лучше лучэ,"
aʔlom межд,лучше бы
leŋaʔn сущ,лыжи
anst'wolnoŋ сущ,лыжная подбивка
leŋa uʔ сущ,лыжное дерево
juqseʔn сущ,лыжные крепления
leŋazonoŋ сущ,лыжня
tewenŏm сущ,лыжня
lk'et сущ,лыко ивы
kumɬxil сущ,лыко кипрейное
im- неп,лысеть
k'emsx сущ,лысина
ačxq'alaχ прил,лысый
kaɬčfsəm сущ,льдина
ketwol сущ,льдина
ketwoɬčaχ сущ,льдина
kətwolte- неп,льдом покрываться
kaɬčfsate- неп,льдом покрыться
č'owaq сущ,любитель женщин
lft- неп,любить
lft- п1,любить
lftala- п1,любить
lftalat- п1,любить
činəŋʔe- неп,любоваться красотой
klelx сущ,любовник
χelulan сущ,любовник
klelxčeʔɬ- неп,любовью заниматься
zipke сущ,люлька подвесная детская
qepɬko- п1,лягаться
qepɬk'oɬ- неп,лягаться
sasq сущ,лямка типа хомута
ensxeʔɬnom сущ,магазин
anzazo- п1,мазать
anzas сущ,мазь
anzaʔnoŋ сущ,мазь
ktxeɬxən сущ,макушка
mawačχ сущ,малёк
fač'ik сущ,маленькая вошь
ʎiʎuk'ečχ сущ,маленькая рыбья голова
uɲɲačχ сущ,маленькая тундровая птичка
uʎu- А,маленький
uʎuʎaχ прил,маленький
učkuɲʎaχ прил,маленький
paakčix Ю. сущ,маленький вулкан
qeʔris сущ,маленький гусь
kistečχ сущ,маленький домик
čiriričx сущ,маленький кулик
