Русское слово,Ительменское слово,Часть речи
землянку строить,ԓтароӈ-,неп
зеркало,әԓчкэʔноӈ,сущ
зеркало смотреться,зэрклачо-,
неп;,зэрклачотэ-,неп
зерно,зэрноʔн,сущ
зима канк нареч;,хаӈклән,сущ
поселение,тхастнәм,сущ
зимний,хаӈклэан,прил
зимовать неп; канк-,зимоваʔԓ-,
неп;,ӽаӈклэт-,неп
зимовье,канкԓном,сущ
зимой канк нареч;,хаӈклэ,нареч
злая собака,чʼиӈзик,сущ
злить п1;,әнӽаӄаӈэ-; әнӽаӄаӈэт-,п1
злиться неп;,ӽаӄањԓ-; чʼиӈзәп-,
неп;,чʼиӈстэл-,неп
злоба,чʼиӈзәп,сущ
злобный,чʼиӈзлаӽ,прил
зловоние,әмчʼәмчʼ,сущ
злодей,кчинзʔин,сущ
злой прил; прил; прил;,ӄэӄчʼулаӽ; ӽэӄэлаӽ; чʼиӈзлаӽ; эчкʼэлаӽ,прил
сущ; сущ; сущ;,ӄаӄарил; сэʔлуп,
злость сущ;,ӽаӄанварван; чʼиӈзәп,сущ
знак,ксхлэном,сущ
знакомиться,знакомэʔԓ-,неп
знамение,ксхлэном,сущ
знать сущ; п1;,алвасӽӄ; хиӄ; иԓ-; ӽаӄ; иԓ-,"п1, п1"
зная,ӽаӄ,
золотой корень,ичʼэчʼвум,сущ
зрение,әԓчкуном,сущ
зря нареч;,кунэмх; чʼэхчʼэԓ,нареч
зуб,кәпкәп,сущ
зубной,пкʼин,прил
зубы потерять неп;,каԓалхпэ-; кихплэʔԓ-,неп
зуд,чʼохчʼох,сущ
зять,самсэс,сущ
ива,китхԓ,сущ
ивы заросли,китхԓал,сущ
для вязания сетки,счʼанэӈ,сущ
игольное ушко,счʼанэӈ,сущ
игра,маʔԓэс,сущ
играть,маʔԓ-,неп
играть в куклы,ӽэʔлучиʔԓ-,неп
играть в мяч,ӄаплу-,неп
играть в прятки,сӈачиʔԓ-,неп
играть в пятнашки,суӄэчиʔԓ-,неп
играть на дудочке,ковозэл-,неп
игрушка сущ;,маʔйанŏӈ; тәнкʼэл,сущ
идея,˚кʼэнэзэс,сущ
идти неп; неп; пики-,иԓ-; кʼоԓ-,
идти (о снеге) неп;,паӈо-; тӽа-,неп
идти на все ради чего-то,чʼэхэлэ-,неп
идти на лыжах,лэӈазо-,неп
идти немного,тӽала-,неп
идти пешком,ԓэйво-,неп
из леса,сэнхʔал,нареч
из лесочка,сэњчхʔал,нареч
из середины,кӑннэнхʔал,нареч
"из, из-под, изнутри",чәсхʔал,нареч
избавление,әнксином,сущ
избавлять,әнкси-,п1
избивать п1;,тхԓзо-; тхԓэт-,п1
изблизи,тмалхʔал,нареч
избранный,кʼинчилкнэн,инф
известие,ампэланом,сущ
известный прил;,извэстной; кʼалваʔан,прил
извиваться,сӄәсхэн-,неп
извилина,лоʔләм,сущ
извилистый,ксӄәнсхэнʔин,
изгиб сущ;,лоʔләм; наԓноӈ,сущ
изгиб реки,лоʔләм,сущ
изгибаться неп;,сӄэнс-; әнкаврал-,п1
икона,богачӽ,сущ
икра сущ;,ӈилӈил; ӈәлʔӈәл,сущ
икринка,ӈилӈилсхаӽ,сущ
икроножная мышца,ӈилӈил,сущ
икрянка,ӄаʔаӄ,сущ
ил,әлкʼунәӈ,сущ
или,инкнэԓ,союз
им,тхэʔанкэ,мест
имеется,чизэн,
имей в виду,ӽурэт,межд
именно жалеть об утрате,кԓул-,п1
иметь нос полный козявок,ӈапскʼэлты-,неп
изгибаться многократно туда-,нэксамин,прил
сюда,наԓсхэн-,неп
изголовье,снәӈ,сущ
издалека нареч;,мэчʼахʔал; тʼаԓхʔал,нареч
издеваться над кем-то,хиԓивайу; иԓ-,п1
изжога,анэкстʼач,сущ
изжогой страдать,анэкстʼаʔԓ-,неп
излишний,амамкалаӽ,прил
изменить,ԓваԓтэ-,неп
Изменная сопка,Афчаӽ,собств
изменник,ԓваԓу,сущ
изнашиваться неп;,чʼсхән-; чʼсхәнэт-,неп
износиться,атԓхо-,неп
"износиться (вещи, обувь)",инфԓэʔнэ-,неп
изнутри запираться,ӽәлӄэп-,неп
изобретать,әњчикʼирви-,п1
из-под,тнўмхʔал,нареч
изредка,инхсэʔнк,нареч
изрезать,әмпӽэсхэн-,п1
имя,ӽэлаӈ,сущ
имя давать,ӽэлаʔԓ-,п1
иначе нареч;,ԓваԓкʼэԓ; ԓваԓ,нареч
иней,тсатсәм,сущ
иногда нареч;,инхсэʔнк; итʼэнсчаӄ,нареч
иной,ԓваԓʔан,прил
иной раз,инхсэʔнк,нареч
инструктировать,әлʔиԓ-,п1
интересный,интэрэсной,прил
искать неп; инхт- неп;,анхтзоʔԓ-,
инхт- п1; неп;,ныкʼи-; ныкʼи-,
п1;,сэкʼсӈэ-,неп
искать вшей,ињԓ-,п1
искать кимчигу,толкʼаʔ-,неп
искать что-либо п1;,энтӽзу-; эњчӽзо-,п1
искать что-либо среди вещей,амэсат-,п1
искоса нареч;,кʼирич; храӈ,нареч
искра сущ;,эчʼэмиӈ; эчʼэмэчӽ,сущ
искривлять п1;,сӄэнсхэн-; тӄэнс-,
п1; п1;,тӄэнсэн-; тӄэнсэт-,п1
искривляться,тӄэнс-,неп
искусать,пәлсхэн-,п2
искуситель,кәмӈэкиԓӽ,
искушать,әнкәмӈа-,п1
искушение сущ;,антавоӈаԓном; кәмӈэс,сущ
испачкаться при еде,кʼаймәԓ-,неп
исповедовать мэл,иԓ-,п1
исповедоваться,чахсаԓ-,неп
исповедь,чахсаԓэс,сущ
исполниться лэ-,лыԓи,
испортить п1;,ԓнэчкʼэӈ-; әнтфкэ-,п1
исправлять,ԓинмиты-,п1
исправный,хиʔӈиӈлаӽ,прил
испражняться неп;,поӄԓ-; әнзиӈ-,неп
испуг,тәлфԓном,сущ
испугаться неп;,тылхԓ-; тәлхԓ-,неп
испустить дух,фчэтапԓ-,неп
испытание,тавуӈном,сущ
испытывать п1; п1; п1;,ԓэнтавоӈа-; тавоӈзо-; тавуӈ-; тавуӈэт-,п1
испытывать жажду,икʼсхулэʔԓ-,неп
испытывать симпатию,кәмӈа-,неп
исследовать,әԓчкуст-,п1
исток реки,чкаԓхән,сущ
истолочь,ӽамтала-,п1
исцарапаться,кʼулэсхэн-,неп
исцеление,әнмэлэном,сущ
исчезать неп;,амэԓат-,
ительмен,итәнмән,сущ
ительменская кухня,силӄсилӄ,сущ
ительменские песни,ходилаʔн,сущ
ительменский,итәнмәнʔин,прил
их мест;,итӽ; тӽиʔин,мест
ихний,тӽиʔин,мест
Ича,Сичʼ,собств
к близкому месту,тмалкэ,нареч
к ним,тхэʔанкэ,мест
прил;,ӄэмӄэ,
казаться,ԓузвэн-,неп
кайма,ныкʼилэʔнәӈ,сущ
кайма у обуви с.;,акэваʔнәм; акэвәм,"сущ, сущ"
как ласт нареч; манк с.;,манкэ,нареч
как будто част; нареч;,ӄаʔтх; ӽамух; эԓаӄ,союз
как обычно манк,нскӄзосчэн,
каким образом,ӑӈӄаԓ,мест
какой прил; мин мест; с.;,манкэнан; мэнкэнан; саӄ,"прил, прил"
как-то раз,куныԓвин,нареч
каменистый,кваʔан,прил
каменное корыто,оʔулт,сущ
каменный,ваʔан,прил
каменный голец,фачӄ,сущ
каменный пест спэ сущ;,тӄныӈ,
инсхул,амэԓатат-,неп
камень сущ; вач сущ;,˚вапкʼол,
исщипать,кʼозэсхэнэт-,п1
камень краеугольный,пәлвач,сущ
камень крупный,оʔолт,сущ
камень плоский,зэнзол,сущ
снега),луԓнәӈ,сущ
камус сущ;,касэӈʔан; пәнзәӈ,сущ
камусные торбаза,панзатԓэʔн,
каяться,тэӈсэ-,неп
квасить,әнтԓа-,п1
квашенная рыба,филвилтэ-,неп
сущ;,фифсуʔн; каԓимтоӈ,"сущ, сущ"
кедровые шишки собирать,вачэʔн,сущ
каникулы,кањикулаʔн,сущ
капелька,ӈэсткʼэԓчӽ,сущ
капканы ставить,анчхлэт-,п1
капля,ӈэсткʼэԓчӽ,сущ
капризничать,инчʼэлэ-,неп
капюшон кухлянки,куконыӈ,сущ
караулить неп; инйу-,анфчоʔԓ-,
п1; п1;,инйусхэн-; инэнйу-,неп
картофель сущ;,картофэљаʔн; чхройкʼачӽ,сущ
касаться,сӈэза-,п1
кастрюля,кукэч,сущ
катать п1;,ԓинтхлэтзо-; әнкмэсэ-,п1
кататься по льду,ӈоԓкат-,неп
кататься с горы,тӽлытзу-,неп
катить,әнкмэсэ-,п1
катиться неп; салы-,кмэси-,
каткий,иԓӽлаӽ,прил
каток,ӈоԓкэӈ,сущ
качать п1;,әнӄэлэв-; әнӄэлэвэт-,п1
качаться,ӄэлэ-,неп
кашлять,аскԓ-,неп
каюр,˚кэйух; кунэӈт-,"сущ, неп"
кедровый орех,куњԓэл,сущ
кедровый орешек,куњԓэл,сущ
кедровый стланик сущ;,˚стопкʼул; стотәм,сущ
кета,ӄэкʼф,сущ
кивать неп; неп;,˚пнэӈат-; чʼсхән-; чʼсхәнэт-,неп
кижуч сущ; скан,кәзвәс,
килыкил килыкил сущ;,ԓилум,сущ
килыкил смесь,лыʔлум,сущ
кимчига сущ;,лӄлам; нэхиркʼат-,
неп; сущ; неп;,рәмӈэн; тоԓ-; әлӄлам,сущ
кимчигу искать,толкʼаʔ-,неп
кипеть,ӄэйвэ-,неп
кипеть долго или интенсивно,ӄэйвэзо-,неп
кипрей,нынәм,сущ
кипрей собирать,ныӈт-,неп
кипрей собирать в посуду,алхпаʔԓ-,неп
кипрейное лыко,кумԓхил,сущ
кипятить,әнӄэйвэ-,п1
кислая рыбья головка,кԓчлэч,сущ
кислый,кԓчлаӽ,прил
кислым отдавать,кљчлатэ-,неп
киснуть,тʼԓа-,неп
кит сущ;,йуӈйучӽ; йуӈәйу,сущ
кишка с.; сущ;,зивәс; сивәс; сйайолӈән,"сущ, сущ"
кишки,кʼазвизвач,сущ
кланяться неп;,˚пнэӈа-; тʼԓ-,неп
клапан-нагрудник кухлянки,эʔнвэԓ,сущ
класть неп; п1; п1; п1; с.;,зувэ-; зувэ-; әззу-; әззут-; әзу-; әзус-,"п1, п1"
класть для себя,әззу-,неп
класть за пазуху п2;,паӈза-; паӈзат-,п2
клевать неп;,токтонаʔԓ-; токтоӈо-,п1
клевать(ся),токтоӈоʔԓ-,неп
клеить,нэтмәњԓ-,п1
клеймить п1;,кәлва-; әԓтӄ-,п1
княженика,ийаночӽ,сущ
ковчег,ковчэг,сущ
ковш,анӑс,сущ
ковыряться,тхэла-,неп
когда,итʼэ,союз
когда-то,итʼэ,союз
кого,кʼэ,мест
коготок,кʼэкʼвэчӽ,сущ
коготь сущ;,кʼуфкʼуф; кʼэкʼф,сущ
кое-как нареч;,амсанэӄ,
кожа (человека),килвиԓӽ,сущ
кожа рыбья хинсх сущ;,әнсх,сущ
кожаные штаны,чопакʼэ,сущ
корзины,инмэӈ,сущ
кожное заболевание,әмкʼәсх,сущ
козявки в носу,ӈапскʼэʔл,сущ
кол сущ; упув с.;,нэвлаз,
дистрибутивно,кәлват-; упэв,"п1, сущ"
клеймить собаку,эљтӄа-,п1
клин женского капора,тʼиԓитʼиԓ,сущ
меховых чулок,чʼум,сущ
кличка,ӽэлаӈ,сущ
клочья рвать,чʼэссхэн-,неп
клюква сущ;,кљуква; чʼикʼмәӈ,сущ
ключ,ныӄэʔнәӈ,сущ
ключик,Кључик,собств
потягу,мумкэл,сущ
книга,књига,сущ
книжник,кʼансэʔԓʔан,
кол (передний) запора,кʼнәч,сущ
колбаса кровяная,вэтчинэʔ,сущ
колено с.;,зизэӈ; сэзэӈ,"сущ, сущ"
колесо,кʼэланŏм,сущ
колокольчик коровий,дьиӈљиӈљачӽ,сущ
колокольчиками звенеть,дьиӈԓиӈԓ-,неп
кольев,ӄэсӄ,сущ
колоть тыл- п1; п1;,тылсхэн-; әнтʼсхин-,п1
колоться,интхәлэʔԓ-,неп
колыбальная песня,ӄэрвэљу,сущ
колыбель,зипкэʔ,сущ
колыхаться неп;,атәрватэ-; ӽэлэ-,неп
рыболовного запора,тоӈоԓ,сущ
кольцо,˚кмэсэм,сущ
корюшки,раӄлавәм,сущ
колючий,кʼинтхилʔин,прил
комар,ӄэԓчʼум,сущ
комбинезон с.;,калӈакэрчаӽ,сущ
копотью покрыться,ипэрвэ-,неп
копошиться,тхэла-,неп
коптить п1;,˚тʼи-; ˚әнтʼи-,п1
копылье нарты,мсоӈ,сущ
копыта,йайпэʔн,сущ
копье сущ;,ӄайткэл; пойтәл,сущ
кора березы съедобная,кʼухкʼ,сущ
корень сущ; сущ;,пӈилпӈил; сэњԓ; ӈавкэрачӽ; әск,"сущ, сущ"
комбинезон женский,хонпэӈ,сущ
комната,ӽаӄа,сущ
конец,пињԓфном,сущ
конечно нареч; ээ,лыԓи,
корень водяного растения,иэрэд,сущ
корень медвежий сущ;,ӽэӄум; чӄавом,сущ
корень съедобный,ӽуʔӈунуӈ,сущ
корзина сущ;,инэмсэʔнәӈ; пэккэчх,сущ
кончать,пињԓф-,п1
кончать(ся) неп;,пињԓф-; пиӈԓфат-,неп
кончаться неп; неп; неп;,ԓф-; ԓфэʔнэ-; пињԓфаʔԓ-; пиӈԓфэт-,неп
конь,коња,сущ
копалка для сараны,ӄŏсӄŏс,сущ
копать п1; неп;,рэӈо-; рэӈоʔԓ-,
копать руками п1;,рэӈо-; рэӈоʔԓ-,неп
копать сарану,ињчʼ-,неп
копаться долго,тэву-,неп
копаться долго за едой,ӈипсхэн-,неп
копейка,копэйкаʔ,сущ
корзина берестяная,ачʼал,сущ
корзина плетеная травяная,чʼипсӄэл,сущ
корзинка,чʼипсӄэл,сущ
корзины ободок,инмэӈ,сущ
корка обожженная,кʼвасӽӄ,сущ
кормить,ԓинну-,п1
кормить ребенка жвачкой,илʔэл-,п1
кормушка,нукнэн; ˚ӄэпх,сущ
корнеплод сущ;,ӄлытх; омэӄ,сущ
коробка сущ;,коԓтон; ӽамԓӽйоԓхэн,сущ
корова,короваʔ,сущ
коровий колокольчик,дьиӈљиӈљачӽ,сущ
короткая щека запора,икәмтʼэзэӈ,сущ
короткие торбаза,икумпљикэʔн,сущ
короткий,икәмљаӽ,прил
коротко,икәмӄ,нареч
короткохвостая мышь,икәмчхэн,сущ
короче становиться,икәмсэ-,неп
кору снимать п1; улу- п1;,кʼулу-; улуʔԓ-,неп
корчиться ит-,аӈӄан,
корыто сущ;,куритэʔ; ˚ӄэпх,сущ
корыто для жира,ӽәмԓӽйоԓхән,сущ
корыто каменное,оʔулт,сущ
корыто с выступами,сэԓњиц,сущ
корюшка,ӄавач,сущ
корюшка малая,әнӈаӄэчӽ,сущ
коряк корак сущ;,тафљо,сущ
коряк оседлый,Кԓхитылан,сущ
коса (волосы) косам сущ;,ткʼлом,
сущ;,тʼкʼлом,сущ
коса (мыс),кэљхэн,сущ
орудие),косаʔ,сущ
косить,косэʔԓ-,неп
косить траву,косэʔԓ-,неп
кость сущ; сущ; сущ;,˚ктӽӑм; кчкʼоӈ; ӄтӽам; тӽам,сущ
кость дробленая,ӽамтала,сущ
косяк дверной рамы,колодаʔ,сущ
котёл,кукэч,сущ
котлета,тэԓнаʔ,сущ
котлета из рыбы,тэԓной,сущ
коты морские,татљач,сущ
кочевать йалат- неп; неп;,йалвэт-; йалвэтат-,неп
кочевье,йалвэтатном,сущ
кочерга,кљука,сущ
кочка сущ;,симӄʼ; ˚сәмкʼ,сущ
кошелка,чʼипсӄэл,сущ
краб,ӄэвинәӈ,сущ
краеугольный камень,пәлвач,сущ
край воды,иʔњԓәм,сущ
крапива,ӄазвум,сущ
крапивы заросли,ӄазвал,сущ
красиво с.; А;,чʼинаӄ; чʼинәӈ-; чʼинәӈӄ,"нареч, нареч"
красивый прил; прил;,хихлыӈлаӽ; чиныӈлаӽ; чʼинәӈлаӽ,
красить анзазо- п1;,красэ-,п1
краска анзас сущ; сущ;,анзаʔноӈ; тӄинсрэӈ; краскаʔ,"сущ, сущ"
косой,хрәӈан,
костер уйирит сущ;,химԓх,сущ
костный мозг,ӄомлоӄом,сущ
костный мозг есть,ӄомла-,неп
косточка в ягодице,кчкʼоӈ,сущ
косточка рыбья тонкая,тоӈарэчӽ,
красная смородина,мроротэм,сущ
краснеть,чʼачʼа-,неп
красное,әњчʼачʼала-,п1
красный красной прил; А;,чʼачʼа-,
сущ,чʼачʼалаӽ,прил
красота сущ;,чинәӈчинәӈ; чʼинәӈчʼинәӈ,сущ
красотой любоваться,чинәӈʔэ-,неп
красть неп;,чʼири-; чʼири-,"п1, п1"
крашеный,ктвэлаӽ,прил
крениться,сӄэнс-,неп
крепкий прил;,ичхлаӽ; ктлаӽ,прил
крепко,ктаӄ,нареч
крепко спать,˚ӈиксины-,неп
крепко стоять,тӽзоʔӈэ-,неп
крестить,крэстэ-,п1
креститься,крэстэʔԓ-,неп
крестный,крэстной,сущ
кривить п1; п1;,сӄэнсхэн-; тӄэнс-; әнтӄэнсхэн-,п1
кривиться неп;,сӄэнс-; тӄэнс-,неп
крик,кэлкэл,сущ
крик чайки,ӄэйа; ӄэйа,
кричать кэл- неп; неп;,тайӈа-,
чхча- неп;,эӈалэлэт-,неп
кричать многократно,кэлсхэн-,
неп;,кэлыт-,неп
кричать по-оленьи,ӄоркԓ-,неп
кровать,ањтс,сущ
кровеносный сосуд,тйотйәм,сущ
кровоточить,әњԓим-,неп
кровь,мԓим,сущ
кровь проливать,нэсэӈ-,п1
кровяная колбаса,вэтчинэʔ,сущ
кроить,ԓэл-,п1
кроншнеп сущ;,туваӄ; туваӄ,"сущ, сущ"
крохаль сущ;,атскʼай; тʼәлтʼәл,сущ
крошить,әнквэ-,п1
крошка от юколы,тӽитӽэсхӄ,сущ
крошки пищи,квэсхӄэʔн,сущ
крошки рыбы,чимсхӄаʔн,сущ
круг,˚кмэсэм,сущ
кружить п1; п1; п1;,әнкʼилазо-; әнкʼэлала-; әнкʼэлэ-; әнкʼэлэт-,п1
кружиться,кʼилы-,неп
кружка,крускэʔ,сущ
крупная посуда,ӄамаӈа,сущ
крупный,˚плаӽ,прил
крупный камень,оʔолт,сущ
крутить,әнкʼэлэт-,п1
крутой склон,эʔлэ,сущ
крыло сущ;,сэсэӈ; тэлхп,сущ
крыть крышу неп;,тымэ-; тымэ-,"п1, п1"
крыша сущ;,кровљаʔ; тамәс,сущ
крышу крыть неп;,тымэ-; тымэ-,"п1, п1"
крючок деревянный,ӄаʔнантаʔнŏӈ,сущ
либо из бочки,баврачӽ,сущ
крючок-вешалка для сети,чʼәмкэчӽ,сущ
кряква сущ;,ӄанӽс; хэтʼәвал,сущ
кряхтеть,ӄанԓ-,неп
кто мест; мест;,кʼнынтх; кʼнәнтх; кʼэ,мест
кто-то,кʼээчӽ,мест
кувыркаться,пәлкʼазат-,неп
куда,манкэ,нареч
куда попало,мэналанкэ,нареч
кудрявый,ксәӈраʔан,прил
кудрявый человек,сәӈраӄэл,сущ
кузнец,кталаʔан,сущ
кузнечный мех,иислуʔԓнэӈ,сущ
кукла,ӽэʔлуч,сущ
кукуль ксхча- неп;,ксхчаʔнэӈ,сущ
кукушка,ӄэӄуӄ,сущ
кулак,˚тәԓӄ,сущ
кулик сущ; сущ;,туваӄ; туваӄ,
русско-ительменский индекс сущ; урилвич сущ;,тʼотʼотʼ,
кунжа,кунзэ,сущ
купить,эњԓата-,неп
курильский ветер,нынэʔ,сущ
куропатка,рэвнэ,сущ
кусать неп; п2; п2;,ампәл-; пәл-; пәлсхэн-; пәләт-,п2
кусаться неп;,ампәл-; ампәлсхэнаʔԓ-,неп
куски от пласта рыбы,мәнсәӈ,сущ
кусок,ансӽ,сущ
кусок льда,каԓчфсәм,сущ
кусок меховой шкурки,войданәӈ,сущ
шейной части летнего капора,нэпунэч,сущ
кусочек,ањачӽ,сущ
куст,˚физвум,сущ
куст жимолости,ләлтаном,сущ
куст кедрового стланика,стотәм,сущ
куст тальника,чʼэчʼэм,сущ
кустарник,˚физвал,сущ
кутаться неп;,чʼэс-; чʼэссхэн-,неп
Кутх Кутхай собств;,Лукаԓч,собств
кухлянка йэрвач сущ;,ӄовсӄэл,
сущ с.;,эљвәмәк,сущ
кухлянка теплая,каваљо,сущ
кухлянка-парка,ӄофч,сущ
кухлянки капюшон,куконыӈ,сущ
кухня,кутэ,сущ
кухонный,кутэʔин,прил
кушанье,новаԓэс,сущ
кушанье из морошки с рыбой,филкʼинтора,сущ
кушать,тӽӑл-,п1
ладно,тэӈӄ,нареч
ладонь,манзәӈ,сущ
ладоши хлопать неп;,ӄәмтʼкʼа-; ладускаʔԓ-,неп
лаз,чʼэном,сущ
лакомиться,чʼэԓэлат-,неп
лампа,пиӈч,сущ
ласкать неп;,авазэʔԓ-; вәнкэ; иԓ-,п1
ласкаться,авазэ-,неп
ласковый,кʼавазэʔан,прил
ласт нерпы сущ;,тʼкʼохч,
ласточка,аткʼаљачӽ,сущ
латать,ԓинмиты-,п1
латать обувь,атԓэмкʼат-,п1
лахтак двухлетний,кэвэв,сущ
лахтак старше пяти-шести лет,торэмэл,сущ
лахтак старый большой,ӄлэӄамәӈ,сущ
лахтак трехлетний,хэкэвэх,сущ
лахтак четырех лет,тьмкʼэкʼ,сущ
лаять,ачʼэ-,неп
лебедь,мэсху,сущ
лебяжье коренье,иэрэд,сущ
левый льэвой прил;,сичʼэӈан,прил
легенда,амӈэл,сущ
легкий,әмсхулаӽ,прил
легко,әмсхуӄ,нареч
легкое,рсэрэс,сущ
лед сущ; сущ;,каԓчфсәм; ктволчаӽ; кэтвол,сущ
ледяная полянка,ӈоԓкэӈ,сущ
ледяное поле,каԓчфсәм,сущ
ледяной,кэтволʔан,прил
лежанка,ањтс,сущ
лежать неп; солло-,˚сŏл-,
лезвие ножа,пэкул,сущ
лекарство,љэкарстваʔ,сущ
ленивый прил;,кԓчилаӽ,
лениться неп; неп;,илкʼэст-; кԓчила-; кԓчэл-,неп
лента в косе,кʼимамтэнŏӈ,сущ
лентяй,кԓчилаӽ,сущ
лес сущ; син- А,ачәњчх,
лесной прил;,синʔин; ухтʼин,
лестница сущ; кич,аманәм,
лет,кԓалаʔн,сущ
летать неп; неп; неп;,сиӈ-; сиӈзу-; сиӈэт-; сэӈзо-,неп
летающие птицы или насекомые,ксэӈзоʔан,
летнее жильё,лаʔмстном,сущ
летнее стойбище,ламԓном,сущ
летние торбаза,чкатԓэʔн,сущ
летний,ламԓʔан,прил
летник сущ;,ламԓном; лаʔмстном,
сущ;,ԓханостном,сущ
летняя обувь,алачикаʔн,сущ
летняя промысловая обувь,икәмплыкэʔн,сущ
летняя хижина,ламԓном,сущ
лето,ламԓ,нареч
летовать неп;,ламԓ-; лаʔмст-,неп
летом,ламԓ,нареч
летчик,сэӈзокиԓӽ,
лечебный,љэчэʔԓкнэн,прил
лечить п1; неп; п1; п1;,лэчи-; лэчиʔԓ-; љэчи-; әнӄэчэʔԓ-; эʔӈуӈи-,неп
лечиться,љэчэʔԓ-,неп
лечь соллата- неп; неп;,эԓч-; эԓчата-,неп
леший,тањԓкас,сущ
лизать,тәʔмэ-,п1
лилия опсанка сущ;,тэмэӄ,сущ
линять атх- неп; неп; суву-,ичʼэ-,
липкий,ктмәлʔан,прил
липнуть,тмәл-,неп
лиса тсхаластас сущ;,"тʼсал,; тʼсалай",сущ
лисий,"тʼсалэн,; тʼсалайэн",
лисица,"тʼсал,; тʼсалай",сущ
лист дерева,пәллапәл,сущ
листва,пәллал,сущ
лиственница,кәзвум,сущ
лицевая сторона,фэваӈ; тэмйуӈлаӽ,"сущ, прил"
лицо,фэваӈ,сущ
лицом вверх,пәлкʼаӈ,нареч
лицом вниз,пнэӈ,нареч
личико,фээчӽ,сущ
лишай,әмкʼәсх,сущ
лишний,љисњой,прил
лоб,кчэч,сущ
ловить неп; п2;,инәнк-; әнк-; әнкаʔԓ-,п2
ловить оленей,чаʔват-,неп
ловить рыбу неп;,әззаʔно-; әњчсӽмо-,неп
ловить рыбу неводом,хилвиӈт-,
неп;,хилывиӈтзо-,неп
ловкий,нмитӄэн,прил
ловушка сущ; хап,тӄапэс,
ловушка запора для гольцов,ӄэлӄэлвин,сущ
песца,куљумкэ,сущ
лодка,сљупка,сущ
лодку привязывать п1;,тупэз-; тӽтупэс-,неп
ложиться неп;,эԓӽтʼэӈ-; эԓч-,неп
ложиться ничком,˚пнэӈа-,неп
ложка лоска сущ;,чкпәч,сущ
ложкообразное весло,апчʼкʼәл,сущ
локоть,лотʼил,сущ
ломать неп; п1; п1;,ӈэкʼол-; әнкʼол-; әнкʼолсхэн-; әнкʼолэт-,п1
ломаться неп; неп;,кʼол-; кʼолсхэн-; кʼолэт-,неп
лопата,учкпэн,сущ
комбинезона,пэтэчӽ,сущ
лоскуток юколы,тӽитӽиӈ,сущ
лососевая рыба,чʼувай,сущ
лососевой икры вязка,интӽзэсӽ,сущ
лохматый,моӄрэ,прил
лошадь,коња,сущ
лошадь переводить,әнԓэмза-,п1
лощина,изувэзәм,сущ
луб березы сущ;,ивкʼ; кʼуӽӄ,сущ
лужа сущ;,˚кәԓфчаӽ; чкʼэмт,сущ
лук лук сущ;,чʼит,сущ
лук дикий,луӄуйӈин,сущ
лукавый,тэмйуӈлаӽ,прил
луна с.;,йаалӈән; йаʔәлвәчӽ,сущ
сущ; лач сущ;,кԓфиӈлэʔин; мэсиц,сущ
лучше,"лучэ,; лучэс",нареч
лучше бы,аʔлом,межд
лыжи,лэӈаʔн,сущ
лыжная подбивка,анстʼволноӈ,сущ
лыжное дерево,лэӈа; уʔ,сущ
лыжные крепления,йуӄсэʔн,сущ
лыжня сущ;,лэӈазоноӈ; тэвэнŏм,сущ
лыко ивы,лкʼэт,сущ
лыко кипрейное,кумԓхил,сущ
лысина,кʼэмсх,сущ
лысый,ачхӄʼалаӽ,прил
льдина сущ;,каԓчфсәм; кэтвол,
сущ;,кэтвоԓчаӽ,сущ
льдом покрываться,кәтволтэ-,неп
льдом покрыться,каԓчфсатэ-,неп
любитель женщин,чʼоваӄ,сущ
любоваться красотой,чинәӈʔэ-,неп
любовник сущ;,клэлх; ӽэлулан,сущ
любовью заниматься,клэлхчэʔԓ-,неп
люлька подвесная детская,зипкэ,сущ
лягаться п1;,ӄэпԓко-; ӄэпԓкʼоԓ-,неп
лямка типа хомута,сасӄ,сущ
магазин,энсхэʔԓном,сущ
мазь анзас сущ;,анзаʔноӈ,сущ
макушка,ктхэԓхән,сущ
малёк,мавачӽ,сущ
маленькая вошь,фачʼик,сущ
маленькая рыбья голова,љиљукʼэчӽ,сущ
маленькая тундровая птичка,уњњачӽ,сущ
маленький А; прил;,уљу-; уљуљаӽ; учкуњљаӽ,прил
маленький гусь,ӄэʔрис,сущ
маленький домик,кистэчӽ,сущ
маленький мышонок,чʼитэкʼэчӽ,сущ
маленький язычок в горле,эрмэчӽ,сущ
малина малина сущ;,эчхэԓӄвэзэм,сущ
мало,уљуӄ,нареч
мало дающий,кʼаӈанса,прил
малыш,миљачӽ,сущ
мальма,вәԓч,сущ
мальчик с.;,памхччаӽ; пʼэч,сущ
сущ;,ӽољачӽ,сущ
манить,әнчʼэлазо-,п1
масло,маслаʔ,сущ
мастер,нмитӄэн,сущ
материк,саләӈк,сущ
материя,чинәп,сущ
потолке),матњицаʔ,сущ
матка,пʼасх,сущ
мать,лаӽсӽ,сущ
махать руками,авэлаʔԓ-,неп
махать рукой,авэла-,п1
мачеха,лаӽсӽэʔсх,сущ
мачта,мачтаʔ,сущ
"медведь с., нап.,",вэӄаʔнтԓ,сущ
сед.; сущ; массу сущ;,йаӈсалан; мэтʼскʼай,сущ
медведь трех лет,чʼота,сущ
медведь-бродяга,пилвэлан,сущ
медвежатина сущ;,массутʼил; мэтʼскʼэтʼил,сущ
