russian,itelmen,part of speech
достаточно,qэč'эɬ,нареч
достать что-либо,əlʔata-,п2
достойный сожаления,lэʔluŋlaχ,прил
драться,intxɬ- неп; lut'ɬxэ- неп; tala- неп; talazo- неп; эnatala- неп с.,multiple translations
драчун,k'lut'ɬxэʔin; lut'ɬxэrэm,сущ
древесину заготавливать,oŋta-,неп
древесный нарост,čkəp,сущ
древний,it'эnan прил; qaʔt'anan прил,multiple translations
дремать,ŋapsxat-,неп
дробить,tala-,п1
дробить кости,tala-,неп
дробленая кость,χamtala,сущ
дробленка,χamtala,сущ
дров вязанка,omtsx,сущ
дрова,ŋil- неп; uʔiʔn сущ,multiple translations
дрова возить,ŋinsxэʔɬ- неп; ŋэlxsɬ- неп,multiple translations
дрожать,fiwit-,неп
дрожать от холода,qitit-,неп
друг,ipɬχ сущ; klэlx сущ,multiple translations
другой,qula прил; ɬwaɬʔan прил; pɬχʔin прил; эk'nin прил; эk'nэnlaχ прил,multiple translations
дружба,ipɬχnom сущ; эpɬxnom сущ,multiple translations
дружелюбный,qэčikэlaχ,прил
дружественный,qэčikэlaχ,прил
дружина,ipɬχnowal,сущ
дружить,klэlxčэʔɬ- неп;,multiple translations
досыта наедаться,ŋэju- неп; эpɬχэʔɬ- неп č'эɬэt- неп,multiple translations
дотрагиваться,sŋэza- неп; sŋэza- п1,multiple translations
дохлая рыба,itqlač,сущ
дочь,ŋimsxʔin p'эč,сущ
дразнить,ɬinč'uŋ- п1; ɬэč'oŋэɬ- неп; əɲč'aŋa- п1,multiple translations
дразниться,inɬiluʔɬ- неп; ɬэč'oŋэɬ- неп; nanč'aŋaʔɬ- неп,multiple translations
драка,lot'ɬxэs,сущ
любовью,klэlxčэʔɬ-,неп
дружок,kaɬalxp,сущ
дрыгалка,trэwalka,сущ
дубинка,trэwalka,сущ
дудочка,kowozэl- неп; kowom сущ,multiple translations
думать,kəʔŋɬ- п1; ʷk'эnэzi- неп,multiple translations
дупло,kɬutɬ,сущ
дурить,duriʔɬ-,неп
дурно,qiwэ,нареч
дурной,χэqэlaχ прил; эčk'эlaχ прил,multiple translations
дурной сон увидеть,χaqarat-,неп
дуть,wij- неп; spəl- неп; tlu- п1; tlut- п1; čxl- п1,multiple translations
заморозка,xiwəs-,неп
дуться,ɬŋawu- неп; χiʔni- неп,multiple translations
дуться долго,χiʔnist-,неп
дух,ʷk'эnэzэs сущ; fčifč сущ,multiple translations
дух воды,zofsx,сущ
дух испустить,fčэtapɬ-,неп
дух на реке,sэʔlup,сущ
дух святой Святой,Фčifč,сущ
духота,qumэsəm,сущ
душа,nita сущ; fčifčaχ сущ; fčifč сущ,multiple translations
душить,nik'upŋiʔɬ- неп; ənk'upŋ- п1; ənpəŋ- п1,multiple translations
душно,ŋačasq,нареч
душный,č'inč'ilaχ,прил
душонка,fčifčaχ,сущ
дым,ŋačas сущ; ʷt'it'im сущ,multiple translations
дым разгонять,oropla-,п1
дымить,nit'iʔɬ- неп; ʷt'i- неп,multiple translations
дымиться,ʷt'i-,неп
дымно,ŋačasq,нареч
дыра,pxalpxal,сущ
дырявить,nэtɬqэʔɬ-,неп
дырявый,kpxalʔan,прил
дыхание,fčifč,сущ
дышать,fčit- неп; fčit- п1,multiple translations
дьявол,kilwul сущ; unal сущ,multiple translations
дядя,kifsx,сущ
дятел,qiqэčχ,сущ
еванг.,kэlkэl сущ; k'alwaʼan прил; эčk'эlaχ прил,multiple translations
его,ənna мест; ənnan мест,multiple translations
еда,nonom сущ; tχalnoan сущ,multiple translations
еда для собак,kɬxmas,сущ
"еда, взятая в дорогу",sisxэŋэč,сущ
едва же,ʷximaqəm,нареч
единственный,ʷqniŋačχ,прил
едучий дым,ŋačas,сущ
еды остаток,aʔnxčas,сущ
её,ənnan,мест
ёж,ёж,сущ
ездить,jэzdɨɬ- неп; sxэzi- неп; sč'эl- неп; sč'эlэt- неп,multiple translations
ездить за дровами,ŋil-,неп
еле двигаться,ɬэʔlfɬ-,неп
елей,jэlэj,сущ
ёлка,ёlka,сущ
Еловка (река),Кooč',собств
еловский житель,Кooč'-aj собств; Хančal-aj собств,multiple translations
ёлочный,ёločnoj,прил
ель,atxkəzəm,сущ
ерошиться,səŋra-,неп
если,wэn,союз
если бы не,iɬaq,союз
естественный каток,ŋoɬkэŋ,сущ
есть,nu- неп; tχӑl- п1; čizэn,multiple translations
есть вкусно,čχamɬ-,неп
есть долго,ŋipsxэn-,неп
есть костный мозг,qomla-,неп
есть суп,iɬqэ-,неп
есть толкушу,sэlqэ-,неп
ехать,sxэzi- неп; sč'эl- неп,multiple translations
еще,eщё нареч; nэsэmq нареч; sota нареч с.; tэwut нареч,multiple translations
жабры,čamčam,сущ
жаворонок,čoʎoʎačχ сущ; č'oʎoʎačχ сущ,multiple translations
жадничать,inuwэrэt- неп; fiŋiʔɬ- неп,multiple translations
жадно глотать,ənfilk'a-,п1
жадный,nanqst'əl прил; fiŋilaχ прил; xixэʔŋэlax прил,multiple translations
жалеть жалка,iɬ- п1; zalka iɬ- п1; kɬul- п1; ɬinqn- п1; ɬinqnэt- п1,multiple translations
жалованье,wэlэtnom,сущ
жаловаться,qэɬk'эli-,неп
жара,kaxkax сущ; xkakkəm сущ,multiple translations
"жаренное (рыба, мясо)",жarэnaʔ,сущ
жареное,zarinaʔ,сущ
жарить,zarэ- неп; zarэ- п1; zarэʔɬ- неп; qumisi- неп; poj- п1,multiple translations
жаркий,xkalaχ,прил
жарко,xkaq,нареч
жать,əzzatɬ-,неп
жвачка,ilʔэl-,п1
жвачка для ребенка,ilʔэl,сущ
жгучий,kst'laχ,прил
ждать,kzu- неп; kzu- п1; ukэ- неп; ukэ- п1; ukэt- п1,multiple translations
ждать долго,ukэt-,п1
же,jaq,част
жевательный табак,proska,сущ
жевать,ilʔэlэʔɬ- неп; lэl- п1; lэʔlfɬэ- п1; lэʔlfɬэʔɬ- неп; ɬэʔɬf- неп,multiple translations
жевать табак,tawako-,неп
железный,zэʎэznoj,прил
железо,zэʎэzaʔ,сущ
жёлтый,жoltoj,прил
желудок,nanq,сущ
желудок запасной,kɲiskə,сущ
желудок птицы,sэnэk,сущ
желудок человека,mizəm,сущ
желчный пузырь,zolst,сущ
желчь,zolst сущ; iʎč сущ,multiple translations
жена,ŋič,сущ
женить,ɬinŋaɬx-,п1
жениться,ŋaɬx- неп; ŋaɬxat- неп,multiple translations
женская одежда,ŋawkэr,сущ
женские меховые штаны,pakэl,сущ
женский,mimsxʔin,прил
женский комбинезон,xonpэŋ,сущ
женский половой орган,č'afk,сущ
женщина,wimsx сущ с.; mimsx сущ; ŋimsx сущ,multiple translations
женщина пожилая,ktxlotэknэn,сущ
жердь,kokač'awiŋ сущ; qatolaχ сущ,multiple translations
жердь для развешивания юколы,saŋziŋ,сущ
"жердь, лежащая на стропилах",rač'əlŋən,сущ
жертва,zэlzэl,сущ
жертвенник,zэlnom,сущ
жесткая трава,ŋэŋэzэŋ,сущ
жёсткий,ktlaχ,прил
жёстко,ktaq,нареч
жестокий,xičinzlaχ,прил
жечь,ənk'wa-,п1
живой,ksuɲɬiɬ,прил
живот,qэɬtq,сущ
животное,kɬalэʔan сущ;,multiple translations
животное одичавшее,ŋэjэm,сущ
корова и т.п.),watsk'э,сущ
животных клеймить,kəlwat-,п1
жидкий,filk'laχ,прил
жизнь,soɲɬэs,сущ
жила,pilwit,сущ
жила оленья,sitɬ,сущ
жилище,kist,сущ
жимолость,ləltχ,сущ
жир,fč'эs сущ; xamɬx сущ,multiple translations
жир вытапливать,fč'эz-,п1
жир медвежий,kač'x,сущ
жир морского зверя,qəlk' сущ; xamɬx сущ,multiple translations
жир нерпичий,xamɬx,сущ
жир олений,qэtχ,сущ
жир растапливать,fčizi-,п1
жиреть,tirwit-,неп
жирник,piŋč,сущ
жирника,piŋjoʎxэn,сущ
жирный,ktirwitknэn,прил
жирок завязать,эt'osčo-,неп
жиром смазывать,nisč- п1; χamɬχzo- п1,multiple translations
житель,atnolan,сущ
жить,zuɲɬ- неп с.; it- неп; itkэʔɬ- неп; suɲɬ- неп,multiple translations
жужжать,xəzwəzwэ-,неп
жук,kmak,сущ
журчать,fəlэlэ- неп; xilk'э- неп,multiple translations
жутко,čispq,нареч
за волосы держать,k'immat-,п2
за волосы таскать,k'эmmatzo-,п2
"за рекой, озером, морем",salaŋk,нареч
забава,maʔɬэs,сущ
забавлять,ənmajʔa-,п1
забеременнеть,qэɬtqtэ-,неп
забивать,txnot- п1; til- п1,multiple translations
забирать все целиком,ɬit-,п1
заблудиться,čxilli- неп; čэksxili- неп,multiple translations
заболеть,ŋič-,неп
заботиться,ɬnita- п1; sэjuniŋ- неп,multiple translations
заброшенный посёлок,atnoqol,сущ
забывать,aʔnэsxwat- неп; nэtxwaʔɬ- неп; əntxwa- п1,multiple translations
завал,t'lэnom,сущ
заваривать чай,izula-,п1
завет сватой,aɲɬos,сущ
завидовать,zawidowaʔɬ- неп; xэk'omla- неп; xэk'omla- п1; xэk'omlat- неп,multiple translations
завидовать постоянно,xэk'omlat-,п1
завистливым быть,xэk'omlat-,неп
завлекать,ənkəmŋa- п1; ənkəmŋaʔɬ- неп,multiple translations
завлеченным быть,kəmŋa-,неп
заводить,ənč'oxɬ-,п1
заволакиваться облаками,jat-,неп
заворачивать,č'umk'э-,п1
завтра,azosk нареч; zaftra нареч; mitiw нареч с.,multiple translations
завтрак,čajэqwat,сущ
завязать жирок,эt'osčo-,неп
завязка,inwinom,сущ
завязка на плетеной корзине,inэmsэʔnəŋ,сущ
завязка у обуви,эnsoŋ,сущ
завязнуть,эk'ŋэ-,неп
завязывать,omtэ-,п1
завяка на обуви,pansnoŋ,сущ
загар,k'wak'wum,сущ
загибать,ʷnaɬ-,п1
заглядывать,tənza- неп; tənzat- неп; əɬčku- неп,multiple translations
загнутый крючком нос,k'onok'on,сущ
заговорить,ɬnэmŋэl-,п1
загораться,tχэ- неп; tχэt- неп,multiple translations
древесину,oŋta-,неп
загривок,k'zixč,сущ
загрязняться,kэɬč'alti-,неп
зад,kumx сущ; sal сущ,multiple translations
задавать,zadawaʔɬ-,неп
задаваться,qamzaʔɲɬ-,неп
заделать,iɲč'-,п1
задерживаться,tэlwэsэ-,неп
месте некоторое время,t-,неп
задерживаться ненадолго,onmala-,неп
задний,salʔan,прил
задний проход,k'oza,сущ
задний спинной плавник рыбы,ɬčəlčaχ сущ; txločχ сущ,multiple translations
задняя часть,sal,сущ
задняя часть штанов,pэt,сущ
задохнуться,pəŋ-,неп
задрать,sč'xn-,п1
задушиться,k'up-,неп
задыхаться,ap'əŋ-,неп
задыхаться от дыма,ŋačas-,неп
заживать,t'la- неп; t'lat- неп,multiple translations
зажигать,inənluʔɬ- неп; nэtxaʔɬ- неп; ənluʔɬ- п1; ənɬčэʔɬ- п1; ənɬčэʔɬэt- п1; əntχэ- п1,multiple translations
заигрывать,čxəlkɬ-,неп
заикаться,ka- неп; эk'ŋэ- неп; эk'ŋэt- неп,multiple translations
заказ,ɬpэlэs,сущ
заказывать,ɬniɬ- п1; ɬpэlэ- п1; ɬpэlэzo- п1; nэɬ- п1,multiple translations
заканчивать,sŋi- неп; ənsŋэ- п1; ənsŋэt- п1,multiple translations
закатываться,čkɬ-,неп
закваска,t'ɬas,сущ
заквашенная рыба,wilwэl,сущ
заклинать,ɬonaɬo- п1; эʔŋuŋi- неп,multiple translations
заколачивать,əmpɬit-,п1
закон,zakon сущ; ɬnэs сущ,multiple translations
закрепить нарту остолом в снегу,osxpɬ-,п1
закрывать,sop- п1; sopat- п1; sopsxэn- п1; səlqapə- п1; эjp- п1; эjpit- п1,multiple translations
закрывать глаза,noʔŋqaʔɬ-,п1
закрываться,эjpit-,неп
закрыть,sopata-,п1
закусить,ansχčka- неп; nowala- неп,multiple translations
залезать,эfs-,неп
залезать в кукуль,ksxča-,неп
залепить,iɲč'-,п1
заливать,txnot-,п1
жиром,χamɬχэʔɬ-,п1
залитое водой место,čk'эmt,сущ
замазать (грязью),anza-,п1
замазывать,anzazo-,п1
кләнк,iɬ,п1
замарашка,əlk'si,сущ
замачивать,ənsχazo- п1; ənsχala- п1; ənsχэ- п1; əntxaʔnэŋэ- п1,multiple translations
замерзать,kətwoltэ- неп; qitit- неп,multiple translations
замечать,čzэkstэ-,п1
замечать кого-либо,čkzt-,п1
замоина,simtwэn,сущ
замок,χəlqэpaʔnoŋ,сущ
замолчать,iɬč- неп; isiŋzi- неп; isiŋzi- п1,multiple translations
замораживать,ənqɨtitiwɨ-,п1
заморозок,xiwəs,сущ
замочить,ənkizwakni-,п1
замочить засохшую обувь,əmproklaw-,п1
заниматься сушкой,nik'izwi-,неп
замуж выходить,qamzantэ- неп;,multiple translations
заниматься тушением,qamzantэt-,неп
замша,rэtэm,сущ
занести,tэwata-,п2
заниматься,č'эl- п2; č'эli- п2,multiple translations
заниматься блудом,č'afkra-,неп
заниматься выделкой шкур,ʷnaɬэʔɬ-,неп
заниматься домашними делами,ratawat-,неп
заниматься к-л. делом,wэtat-,неп
заниматься конопачением,utika-,неп
заниматься корчевкой,satut-,неп
заниматься ломанием,ŋэk'ol-,неп
заниматься накопительством,nэwnэʔɬ-,неп
наговорами,anzaʔɬst-,неп
заниматься обманом,aɲɬэnmajaŋaʔɬ-,неп
заниматься окоркой,ilalɬэl-,неп
заниматься побелкой,бэʎiʔɬ-,неп
заниматься поисками,inxt- неп; nik'i- неп,multiple translations
заниматься посолкой,soʎaʔɬ-,неп
заниматься продырявливанием,nэtɬqэʔɬ- noʔŋqaʔɬ-,неп
поисками,inxtzuʔɬ-,неп
заниматься этим,эč'эwi-,неп
заноза,intxil сущ; эjp'эʔn сущ,multiple translations
занозить,intxэl-,п1
занозить(ся),intxэl-,неп
заносить снегом,fjaltэ- неп; fjaltэt- неп,multiple translations
заноситься,asʔamɬ-,неп
занятие,wэtat,сущ
заодно,imxэs,нареч
запад,čkɬnom,сущ
запаршиветь,əmk'əsxti-,неп
запасать,zapasaʔɬ-,п1
запасать впрок,ənkaŋɬ- п1; ənkaŋɬat- п1,multiple translations
запасаться,zapasaʔɬ-,неп
запасной желудок птицы,sэnэk,сущ
запасной желудок травоядных,kɲiskə,сущ
запасы делать,kaŋɬ-,неп
запах распространять,əʔɲɬumza-,п1
запахами пропитаться,nirwi-,неп
запачкаться жиром или,inoj неп; xt- неп,multiple translations
заниматься разделкой туш,эlfɬэʔɬ-,неп
заниматься ремонтом,otxpaʔɬ-,неп
заниматься сбором урожая,эnaxɬ-,неп
заниматься скоблением,fэk'aʔɬ-,неп
пищей,ŋisčэʔɬ-,неп
запереть,alpэ-,п1
запеченный голец,čupэrk'э,сущ
запирать,səlqapə- п1; χəlqэp- п1; χəlqэpэt- п1,multiple translations
запираться,χəlqэp-,неп
заплата,azəmsnom сущ; atɬэmk'anŏŋ сущ; iɲčэnom сущ,multiple translations
заплата на одежде,azamsnŏm сущ;,multiple translations
русско-ительменский индекс,azəmsnom,сущ
заплата на подошве обуви,atɬэmk'anŏŋ,сущ
обихода,iɲčэnom,сущ
заплаты пришивать,azams-,неп
заплаты ставить,azəmzэ- п1; atɬэmk'a- п1; atɬэmk'aʔɬ- неп; otxp- п1,multiple translations
заплетать,tk'lot-,п1
заплетённая в косу,k'imamtэnŏŋ,сущ
заплыть,pilwist-,неп
заповедь,χэnэs,сущ
запоминать,txiɬ-,п2
запор,tqapэs сущ; χəlqэpaʔnoŋ сущ,multiple translations
запор для гольцов,mэroz,сущ
запор для корюшки,qэns,сущ
запор для рыбной ловли,toɬwoŋ,сущ
запор рыбный,t'izэŋ сущ; xč'эs сущ,multiple translations
запор центральный,tkup,сущ
запрещать запрэтит,iɬ- п1; qaʔm iti- п1; quzi- неп,multiple translations
запричитать,čŋэl- неп; čŋэlkas инф неп,multiple translations
заросли боярышника,kəllasnal,сущ
заросли бузины,pukkal,сущ
заросли ветлы,kitxɬal,сущ
заросли кедрового стланика,stowal,сущ
заросли кипрея,ninal,сущ
заросли конского щавеля,nirwal,сущ
заросли крапивы,qazwal,сущ
заросли кустов,ʷfizwal,сущ
заросли ольхи,kskəzzal,сущ
заросли рябины,əmč'nowal,сущ
заросли тальника,č'aal,сущ
заросли хвоща,ŋэŋэzэŋ,сущ
заросли шиповника,ʷqэnэpxnal,сущ
зарплата,wэlэtnom,сущ
зарубка,kəlwanŏm,сущ
заряжать ружье,tχnu-,п1
засалиться,ŋisčэʔɬ-,неп
засечка,kəlwanŏm,сущ
засечки,kəlwa-,п1
заслон от ветра,masnən,сущ
заснуть,ʷŋiksini-,неп
засов,χəlqэpaʔnoŋ,сущ
засоня,ŋiŋik',сущ
запрягать,kilwit- неп; kilwit- əmproklaw- п1 п1; kəlwэt- п1 с.,multiple translations
запутаться,q'lэ-,неп
запутывать,ənk'lisxin-,п1
запутываться,k'lisxin-,неп
запущенный,imɬlaχ прил; fillalaχ прил,multiple translations
запыхаться,tэlŋэt-,неп
заработать,wэtat-,п1
заражаться,azəmnэ-,неп
заранее,wənaxp,нареч
заросли,ič'al,сущ
заросли берёзы,kilxal,сущ
засохшую одежду замочить,ənkizwakni-,п1
заставать,inf-,п2
заставлять,iti- п1; itit- п1; ɬэntawoŋa- п1; nэɬ- п1; ənkawral- п1; ənpэrwэt'i- п1,multiple translations
заставлять кого-либо войти,ɬinč'эŋ-,п1
себе,ɬink'эnэziŋ-,п1
заставлять кого-либо работать,ɬinwэtat-,п1
спотыкаться,ɬinkup-,п1
заставлять перешагивать,ənfaqt-,п1
застать,ənnakas,инф
застревать,эk'ŋэ- неп; эk'ŋэt- неп,multiple translations
застрелить,ɬot-,п1
заступ,učkpэn,сущ
засуха,k'эsxk'эsx,сущ
засучивать рукава,tl- п1; tlэt- п1,multiple translations
засучить рукава,t'эsla-,п2
засыпать,ʷŋiksi-,неп
засыхать,qaŋrat-,неп
затащить,tэwata-,п2
затемнить,əntxun- п1; əntxunala- п1,multiple translations
затемнять,əntxunэt-,п1
затока,uwam,сущ
затоптать,st'watala- п1; st'watata- п1,multiple translations
затупить,isxəmtsэ-,п1
затупиться,isxəmtsэ-,неп
затыкать щели,utika-,п1
затылок,suč,сущ
затягиваться,t'la- неп; t'lat- неп,multiple translations
зацепиться,ak'nэ-,неп
зачатие,ənzunom,сущ
зачем,ӑŋqankit мест; ӑŋqanэʔsx мест,multiple translations
зачервевать,ximti-,неп
зачерпывать,ačplэ- п1; paju- п1,multiple translations
"зачерпывать (еду, воду)",ačplэ-,неп
зачинивать,čэʔŋэla-,п1
зашивать,ɬinmiti- п1; čэʔŋэla- п1,multiple translations
защищать защитит,iɬ- п1; ɬinqn- п1; ɬinqnэt- п1,multiple translations
заяц,miɲɬ,сущ
заячий,miɲʎʔin,прил
званый обед,čχamɬэs,сущ
звать,inoč'- неп; oč'- п1; oč'zo- п1; oč'эt- п1,multiple translations
звезда,ŋэzzэčχ сущ; эŋэzэm сущ; эŋэzэčχ сущ,multiple translations
звездами покрываться,ŋэzэtэ-,неп
звёздный,k'ŋэzэʔin,прил
звенеть колокольчиками,d'iŋɬiŋɬ-,неп
зверь,ʷwirɲik,сущ
зверя скрадывать,эč'эwi-,п1
звонить,zwonэʔɬ- неп; ənzlэt- п1,multiple translations
звонить во что-либо,ənzэl-,п1
здесь,wun нареч; qotɬk нареч; nuxqэnэ нареч; nux нареч; ŋuʔn нареч; tixt нареч с.; xtaank нареч с.; xtэank нареч,multiple translations
здешний,tanʔin,прил
здороваться,dorowa- неп; dorowa- п1; dorowaʔɬ- неп; torowaʔɬ- неп,multiple translations
здоровый,tχiwlaχ,прил
здоровье поправлять,ənqэčэʔɬ-,п1
"здравствуй, здорово",dorowa,межд
зевать,waŋaxla- неп; txaŋɬ- неп; txaŋɬэt- неп,multiple translations
зевать многократно,txaŋɬэt-,неп
зеленеть,fɬa-,неп
зеленый,fɬlaχ,прил
земля,ktxəm сущ; səmt сущ,multiple translations
землянка,zэmʎankaʔ сущ; ktxəmra сущ; k'iŋuxt сущ с.;,multiple translations
землянку строить,ɬtaroŋ-,неп
зеркало,əɬčkэʔnoŋ,сущ
зеркало смотреться,zэrklačo- неп; zэrklačotэ- неп,multiple translations
зерно,zэrnoʔn,сущ
зима,kank нареч; xaŋklən сущ,multiple translations
поселение,txastnəm,сущ
зимний,xaŋklэan,прил
зимовать,zimowaʔɬ- неп; kank- неп; χaŋklэt- неп,multiple translations
зимовье,kankɬnom,сущ
зимой,kank нареч; xaŋklэ нареч,multiple translations
злая собака,č'iŋzik,сущ
злить,ənχaqaŋэ- п1; ənχaqaŋэt- п1,multiple translations
злиться,χaqaɲɬ- неп; č'iŋzəp- неп; č'iŋstэl- неп,multiple translations
злоба,č'iŋzəp,сущ
злобный,č'iŋzlaχ,прил
зловоние,əmč'əmč',сущ
злодей,kčinzʔin,сущ
злой,qэqč'ulaχ прил; χэqэlaχ прил; č'iŋzlaχ прил; эčk'эlaχ прил,multiple translations
злой дух,бukiska сущ; kilwul сущ; qaqaril сущ; sэʔlup сущ; unal сущ,multiple translations
злость,χaqanwarwan сущ; č'iŋzəp сущ,multiple translations
знак,ksxlэnom,сущ
знакомиться,znakomэʔɬ-,неп
знамение,ksxlэnom,сущ
знать,alwasχq сущ; xiq iɬ- п1;,multiple translations
ӽаӄ,iɬ-,п1
зола,činzusx,сущ
золотой корень,ič'эč'wum,сущ
зрение,əɬčkunom,сущ
зря,kunэmx нареч; č'эxč'эɬ нареч,multiple translations
зуб,kəpkəp,сущ
зубной,pk'in,прил
зубы потерять,kaɬalxpэ- неп; kixplэʔɬ- неп,multiple translations
зуд,č'oxč'ox,сущ
зять,samsэs,сущ
и,эk,союз
ива,kitxɬ,сущ
ивы заросли,kitxɬal,сущ
игла,sis,сущ
игла деревянная,oxp,сущ
игла для вязания сетей,эxp,сущ
для вязания сетки,sč'anэŋ,сущ
игольное ушко,sč'anэŋ,сущ
игра,maʔɬэs,сущ
играть,maʔɬ-,неп
играть в куклы,χэʔlučiʔɬ-,неп
играть в мяч,qaplu-,неп
играть в прятки,sŋačiʔɬ-,неп
играть в пятнашки,suqэčiʔɬ-,неп
играть на дудочке,kowozэl-,неп
игрушка,maʔjanŏŋ сущ; tənk'эl сущ,multiple translations
идея,ʷk'эnэzэs,сущ
идол,itung сущ; яidač' сущ,multiple translations
идти,iɬ- неп; k'oɬ- неп; piki- неп с.,multiple translations
идти (о снеге),paŋo- неп; tχa- неп,multiple translations
идти (о шуге по реке),insuči-,неп
идти (шуга по реке),insi-,неп
идти на все ради чего-то,č'эxэlэ-,неп
идти на лыжах,lэŋazo-,неп
идти на нерест,rosxata-,неп
идти немного,tχala-,неп
идти о дожде,čf-,неп
идти пешком,ɬэjwo-,неп
из леса,sэnxʔal,нареч
из лесочка,sэɲčxʔal,нареч
из середины,kӑnnэnxʔal,нареч
"из, из-под, изнутри",čəsxʔal,нареч
избавление,ənksinom,сущ
избавлять,ənksi-,п1
избивать,txɬzo- п1; txɬэt- п1,multiple translations
избить,talawala-,п1
изблизи,tmalxʔal,нареч
избранный,k'inčilknэn,инф
известие,ampэlanom,сущ
известностью пользоваться,alwa-,неп
известный,izwэstnoj прил; k'alwaʔan прил,multiple translations
извиваться,sqəsxэn-,неп
извилина,loʔləm,сущ
изгиб,loʔləm сущ; naɬnoŋ сущ,multiple translations
изгиб реки,loʔləm,сущ
изгибаться,sqэns- неп; ənkawral- п1,multiple translations
икона,бogačχ,сущ
икра,ŋilŋil сущ; ŋəlʔŋəl сущ с.,multiple translations
икринка,ŋilŋilsxaχ,сущ
икроножная мышца,ŋilŋil,сущ
икрянка,qaʔaq,сущ
ил,əlk'unəŋ,сущ
или,inknэɬ,союз
им,txэʔankэ,мест
имей в виду,χurэt,межд
именно жалеть об утрате,kɬul-,п1
иметь нос полный козявок,ŋapsk'эlti-,неп
иметься,či-,неп
изгибаться многократно туда-,nэksamin,прил
сюда,naɬsxэn-,неп
изголовье,snəŋ,сущ
изготавливать,sk-,п1
издалека,mэč'axʔal нареч; t'aɬxʔal нареч,multiple translations
издеваться,d'эkowa-,п1
хиԓивайу,iɬ-,п1
изжога,anэkst'ač,сущ
изжогой страдать,anэkst'aʔɬ-,неп
излишний,amamkalaχ,прил
изменить,ɬwaɬtэ-,неп
Изменная сопка,Аfčaχ,собств
изменник,ɬwaɬu,сущ
изнашиваться,č'sxən- неп; č'sxənэt- неп,multiple translations
износиться,atɬxo-,неп
"износиться (вещи, обувь)",infɬэʔnэ-,неп
изнутри запираться,χəlqэp-,неп
изобретать,əɲčik'irwi-,п1
из-под,tnŭmxʔal,нареч
изредка,inxsэʔnk,нареч
изрезать,əmpχэsxэn-,п1
имя,χэlaŋ,сущ
имя давать,χэlaʔɬ-,п1
иначе,ɬwaɬk'эɬ нареч; ɬwaɬ нареч,multiple translations
иней,tsatsəm,сущ
иногда,inxsэʔnk нареч; it'эnsčaq нареч,multiple translations
иной,ɬwaɬʔan,прил
иной раз,inxsэʔnk,нареч
инструктировать,əlʔiɬ-,п1
интересный,intэrэsnoj,прил
искалечить кого-либо,natkawa-,п1
искалечиться,innatkawa-,неп
искать,anxtzoʔɬ- неп; inxt- неп; inxt- п1; nik'i- неп; nik'i- п1; sэk'sŋэ- неп,multiple translations
искать вшей,iɲɬ-,п1
искать кимчигу,tolk'aʔ-,неп
искать что-либо,эntχzu- п1; эɲčχzo- п1 с.,multiple translations
"искать что-либо долго, усиленно",inxtzu-,п1
искать что-либо среди вещей,amэsat-,п1
исключительно,prostoj,нареч
искоса,k'irič нареч; xraŋ нареч,multiple translations
искра,эč'эmiŋ сущ; эč'эmэčχ сущ,multiple translations
искривлять,sqэnsxэn- п1; tqэns- п1; tqэnsэn- п1; tqэnsэt- п1,multiple translations
искривляться,tqэns-,неп
искусать,pəlsxэn-,п2
искушать,ənkəmŋa-,п1
искушение,antawoŋaɬnom сущ; kəmŋэs сущ,multiple translations
испачкаться при еде,k'ajməɬ-,неп
исповедовать мэл,iɬ-,п1
исповедоваться,čaxsaɬ-,неп
исповедь,čaxsaɬэs,сущ
исполниться,liɬi lэ-,неп
испортить,ɬnэčk'эŋ- п1; əntfkэ- п1,multiple translations
исправлять,ɬinmiti-,п1
исправный,xiʔŋiŋlaχ,прил
испражняться,poqɬ- неп; ənziŋ- неп,multiple translations
испуг,təlfɬnom,сущ
испугаться,tilxɬ- неп; təlxɬ- неп с.,multiple translations
испустить дух,fčэtapɬ-,неп
испытание,tawuŋnom,сущ
испытывать,ɬэntawoŋa- п1; tawoŋzo- п1; tawuŋ- п1; tawuŋэt- п1,multiple translations
испытывать жажду,ik'sxulэʔɬ-,неп
испытывать симпатию,kəmŋa-,неп
исследовать,əɬčkust-,п1
исток реки,čkaɬxən,сущ
истолочь,χamtala-,п1
исцарапаться,k'ulэsxэn-,неп
исцеление,ənmэlэnom,сущ
исчезать,amэɬat- неп;,multiple translations
ительмен,itənmən,сущ
ительменская кухня,silqsilq,сущ
ительменские песни,xodilaʔn,сущ
ительменский,itənmənʔin,прил
их,itχ мест; tχiʔin мест,multiple translations
ихний,tχiʔin,мест
Ича,Сič',собств
к близкому месту,tmalkэ,нареч
к ним,txэʔankэ,мест
каждый,kazdoj прил; kin-kim прил; qэmqэ,multiple translations
кажется,fisx,межд
казаться,ɬuzwэn-,неп
кайма,nik'ilэʔnəŋ,сущ
кайма у обуви,akэwaʔnəm сущ с.; akэwəm сущ,multiple translations
как,last нареч; mank нареч с.; mankэ нареч,multiple translations
как будто,qaʔtx част; χamux нареч; эɬaq союз,multiple translations
каким образом,ӑŋqaɬ,мест
какой,mankэnan прил; min мест; mэnkэnan прил с.; saq прил,multiple translations
как-то раз,kuniɬwin,нареч
каменистый,kwaʔan,прил
каменное корыто,oʔult,сущ
каменный,waʔan,прил
каменный голец,fačq,сущ
